reconciliation_status,match_id,tournament_id,season,match_date,home_team,away_team,score_source,matches_status,events_status,events_normal_home,events_normal_away
matched,8824370,55,20/21,2021-04-24,heart-of-midlothian,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,3.0,0.0
matched,8824372,55,20/21,2021-04-10,dundee-fc,greenock-morton,events_raw_normaltime,finished,finished,1.0,1.0
matched,8824374,55,20/21,2021-04-20,greenock-morton,heart-of-midlothian,events_raw_normaltime,finished,finished,0.0,0.0
matched,8824375,55,20/21,2021-04-30,raith-rovers,heart-of-midlothian,events_raw_normaltime,finished,finished,0.0,4.0
matched,8824381,55,20/21,2021-04-10,raith-rovers,arbroath,events_raw_normaltime,finished,finished,2.0,2.0
matched,8824386,55,20/21,2021-03-06,arbroath,queen-of-the-south,events_raw_normaltime,finished,finished,2.0,4.0
matched,8824387,55,20/21,2021-04-03,arbroath,alloa-athletic,events_raw_normaltime,finished,finished,2.0,1.0
matched,8824388,55,20/21,2021-03-13,dundee-fc,arbroath,events_raw_normaltime,finished,finished,2.0,0.0
matched,8824394,55,20/21,2021-04-24,dunfermline-athletic,arbroath,events_raw_normaltime,finished,finished,4.0,3.0
matched,8824406,55,20/21,2021-04-30,queen-of-the-south,dundee-fc,events_raw_normaltime,finished,finished,0.0,2.0
matched,8824408,55,20/21,2021-03-27,heart-of-midlothian,queen-of-the-south,events_raw_normaltime,finished,finished,2.0,3.0
matched,8824409,55,20/21,2021-03-12,inverness-caledonian-thistle,raith-rovers,events_raw_normaltime,finished,finished,0.0,0.0
matched,8824411,55,20/21,2021-03-19,alloa-athletic,dundee-fc,events_raw_normaltime,finished,finished,0.0,3.0
matched,8824416,55,20/21,2021-04-09,heart-of-midlothian,alloa-athletic,events_raw_normaltime,finished,finished,6.0,0.0
matched,8824417,55,20/21,2021-03-06,greenock-morton,ayr-united,events_raw_normaltime,finished,finished,0.0,2.0
matched,8824425,55,20/21,2021-03-20,arbroath,heart-of-midlothian,events_raw_normaltime,finished,finished,0.0,0.0
matched,9242026,54,20/21,2021-01-20,livingston,celtic,events_raw_normaltime,finished,finished,2.0,2.0
matched,9264416,54,20/21,2021-02-17,celtic,aberdeen,events_raw_normaltime,finished,finished,1.0,0.0
matched,9264468,54,20/21,2021-01-30,celtic,st-mirren,events_raw_normaltime,finished,finished,1.0,2.0
matched,9274711,54,20/21,2021-01-12,dundee-united,st-johnstone,events_raw_normaltime,finished,finished,2.0,2.0
matched,9286184,55,20/21,2021-01-30,raith-rovers,dundee-fc,events_raw_normaltime,finished,finished,3.0,1.0
matched,9286187,55,20/21,2021-02-03,dunfermline-athletic,raith-rovers,events_raw_normaltime,finished,finished,4.0,1.0
matched,9298784,54,20/21,2021-01-30,livingston,aberdeen,events_raw_normaltime,finished,finished,0.0,0.0
matched,9302175,55,20/21,2021-01-27,greenock-morton,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,2.0,2.0
matched,9302273,55,20/21,2021-01-30,ayr-united,alloa-athletic,events_raw_normaltime,finished,finished,4.0,1.0
matched,9302274,55,20/21,2021-01-30,greenock-morton,arbroath,events_raw_normaltime,finished,finished,0.0,1.0
matched,9302275,55,20/21,2021-01-30,heart-of-midlothian,dunfermline-athletic,events_raw_normaltime,finished,finished,1.0,0.0
matched,9303807,55,20/21,2021-02-03,arbroath,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,1.0,1.0
matched,9322202,55,20/21,2021-02-17,inverness-caledonian-thistle,queen-of-the-south,events_raw_normaltime,finished,finished,0.0,1.0
matched,9325883,54,20/21,2021-02-24,st-mirren,motherwell,events_raw_normaltime,finished,finished,0.0,0.0
matched,9336617,54,20/21,2021-02-17,st-mirren,hamilton-academical,events_raw_normaltime,finished,finished,1.0,1.0
