club,match_id,match_date,season,current_tier,previous_observed_tier,home_entry_match_number,window,home_score,away_score,goal_difference,method_note
rangers,8736260,2021-02-03,20/21,54,54,3,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,8736256,2021-02-13,20/21,54,54,4,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,8736244,2021-02-21,20/21,54,54,5,1-5,4.0,1.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,8736247,2021-03-06,20/21,54,54,6,6-10,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574140,2021-07-31,21/22,54,54,7,6-10,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574150,2021-08-29,21/22,54,54,8,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574241,2021-09-19,21/22,54,54,9,6-10,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9573872,2021-10-03,21/22,54,54,10,6-10,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574229,2021-10-16,21/22,54,54,11,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574185,2021-10-27,21/22,54,54,12,11-20,2.0,2.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574086,2021-11-07,21/22,54,54,13,11-20,4.0,2.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9573840,2021-12-04,21/22,54,54,14,11-20,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9573895,2021-12-15,21/22,54,54,15,11-20,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574459,2021-12-18,21/22,54,54,16,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574379,2021-12-26,21/22,54,54,17,11-20,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9573940,2022-01-26,21/22,54,54,18,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
