club,season,previous_observed_season,previous_tier,current_tier,movement_direction,match_id,match_date,opponent,is_home,new_season_match_number,window,matches_observed_in_new_season,tier_season_observed_fixtures,tier_season_expected_fixtures,tier_season_fixture_coverage,tier_season_archive_complete,has_complete_20_match_window,goals_for,goals_against,goal_difference,win,market_team_probability,bbc_shot_difference,bbc_proxy_xg_difference,transition_definition
hamilton-academical,25/26,24/25,55,56,downward_tier_move,14035574,2025-12-27,queen-of-the-south,0,19,11-20,35,175,180,0.972,0,1,1.0,4.0,-3.0,0,0.279488,-13.000,-1.339,consecutive observed seasons changed tier; mechanism unverified
hamilton-academical,25/26,24/25,55,56,downward_tier_move,15363335,2026-01-17,peterhead,0,20,11-20,35,175,180,0.972,0,1,3.0,2.0,1.0,1,0.198241,-9.000,-0.703,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395859,2023-08-04,arbroath,0,1,1-5,36,178,180,0.989,0,1,4.0,0.0,4.0,1,0.457420,12.000,1.262,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395852,2023-08-12,dunfermline-athletic,1,2,1-5,36,178,180,0.989,0,1,1.0,1.0,0.0,0,0.544891,11.000,-0.364,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395848,2023-08-26,ayr-united,0,3,1-5,36,178,180,0.989,0,1,3.0,0.0,3.0,1,0.429975,11.000,1.428,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395840,2023-09-02,airdrieonians,1,4,1-5,36,178,180,0.989,0,1,2.0,0.0,2.0,1,0.631763,0.000,-0.165,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395833,2023-09-16,greenock-morton,1,5,1-5,36,178,180,0.989,0,1,1.0,1.0,0.0,0,0.622707,2.000,-0.578,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395828,2023-09-23,inverness-caledonian-thistle,0,6,6-10,36,178,180,0.989,0,1,1.0,0.0,1.0,1,0.536768,4.000,0.590,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395823,2023-09-30,queens-park-fc,1,7,6-10,36,178,180,0.989,0,1,4.0,1.0,3.0,1,0.650272,6.000,0.588,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395816,2023-10-07,raith-rovers,0,8,6-10,36,178,180,0.989,0,1,1.0,1.0,0.0,0,0.406646,0.000,0.432,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395811,2023-10-21,partick-thistle,0,9,6-10,36,178,180,0.989,0,1,5.0,0.0,5.0,1,0.384734,6.000,2.103,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395809,2023-10-27,arbroath,1,10,6-10,36,178,180,0.989,0,1,6.0,0.0,6.0,1,0.706196,13.000,2.127,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395805,2023-10-31,airdrieonians,0,11,11-20,36,178,180,0.989,0,1,2.0,0.0,2.0,1,0.628832,0.000,-0.084,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395798,2023-11-04,inverness-caledonian-thistle,1,12,11-20,36,178,180,0.989,0,1,1.0,1.0,0.0,0,0.725558,9.000,0.937,consecutive observed seasons changed tier; mechanism unverified
