portfolio_run_id,analysis_side,club,match_id,kickoff_date,movement_direction,window,selection,odds_close,stake_amount,pnl
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476774,2024-09-21,upward_tier_move,6-10,home,2.381413869434601,0.09840738878868345,-0.09840738878868345
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476609,2024-09-28,downward_tier_move,6-10,away,3.2896690137040885,0.5766343650210609,1.2938958010691426
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476767,2024-09-28,upward_tier_move,6-10,away,3.3486285474612414,1.9949590476303707,-1.9949590476303707
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476770,2024-09-28,upward_tier_move,6-10,away,5.863205562455728,17.13593525029703,-17.13593525029703
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476597,2024-10-05,downward_tier_move,6-10,home,3.1704339194034343,3.807822310937355,-3.807822310937355
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476598,2024-10-05,downward_tier_move,6-10,home,2.9159002919293933,2.0418077708462987,3.8336621021435646
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476761,2024-10-05,downward_tier_move,6-10,away,2.8553602334932577,0.04677037344431619,-0.04677037344431619
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,arbroath,12476761,2024-10-05,downward_tier_move,6-10,home,2.835531342982888,0.08106316071097064,0.14581809280132071
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476594,2024-10-19,downward_tier_move,6-10,home,3.15,11.92331578472327,25.122426358411925
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476596,2024-10-19,downward_tier_move,6-10,away,5.603032295032316,9.605808580185528,-9.605808580185528
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476756,2024-10-19,upward_tier_move,6-10,home,2.64,9.31285779619697,-9.31285779619697
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476763,2024-10-19,upward_tier_move,6-10,away,3.959839718148722,5.327462989545131,15.453067822354548
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476751,2024-10-26,upward_tier_move,11-20,home,2.469253367309792,17.837721908006948,25.683970318905363
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476589,2024-11-02,downward_tier_move,11-20,home,4.050000000000001,10.010583323396304,29.92163355363156
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476590,2024-11-02,downward_tier_move,11-20,away,4.815887787790598,7.379930182767733,-7.379930182767733
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476748,2024-11-02,upward_tier_move,11-20,away,4.647742874739833,25.490859681755996,-25.490859681755996
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476749,2024-11-02,upward_tier_move,11-20,home,2.5926846234605323,4.773254786225461,-4.773254786225461
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476583,2024-11-09,downward_tier_move,11-20,home,4.977902236526743,20.91893247777109,81.54919892329599
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476586,2024-11-09,downward_tier_move,11-20,home,3.6476835263604306,8.474926668092428,-8.474926668092428
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476742,2024-11-09,downward_tier_move,11-20,away,3.231078403274957,7.773012213194849,16.99535568370647
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476584,2024-11-16,downward_tier_move,11-20,away,8.529589084794173,16.199954359461426,119.53941952878124
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476738,2024-11-16,upward_tier_move,11-20,home,2.4316835547615603,14.526681509620627,20.38165880213103
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,13171689,2024-12-03,upward_tier_move,11-20,away,3.133384673027935,1.3448453391894275,-1.3448453391894275
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,13179032,2024-12-03,upward_tier_move,11-20,away,3.278304086608015,19.419132416071527,43.357834967079576
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476562,2024-12-07,downward_tier_move,11-20,away,4.934053363495226,16.499629905811187,63.612216036835264
