club,analysis_side,match_id,match_date,movement_direction,window,stake_fraction,stake,pnl,counterfactual
stirling-albion,transitioning_team,12476545,2025-01-04,downward_tier_move,11-20,0.012864,1.2864,-1.2864,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
stenhousemuir,transitioning_team,12476706,2025-01-04,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
inverness-caledonian-thistle,transitioning_team,12476708,2025-01-04,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,12476708,2025-01-04,upward_tier_move,11-20,0.027390,2.7390,-2.7390,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
arbroath,transitioning_team,12476711,2025-01-04,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,13217663,2025-01-08,downward_tier_move,11-20,0.012557,1.2557,-1.2557,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
edinburgh-city-fc,transitioning_team,12476544,2025-01-11,downward_tier_move,11-20,0.025746,2.5746,-2.5746,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035486,2025-08-02,downward_tier_move,1-5,0.027110,2.7110,2.7631,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035662,2025-08-02,downward_tier_move,1-5,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035664,2025-08-02,downward_tier_move,1-5,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035497,2025-08-09,upward_tier_move,1-5,0.033639,3.3639,-3.3639,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035498,2025-08-09,upward_tier_move,1-5,0.053774,5.3774,-5.3774,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035669,2025-08-09,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035484,2025-08-16,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035484,2025-08-16,upward_tier_move,1-5,0.022683,2.2683,12.0038,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035489,2025-08-16,upward_tier_move,1-5,0.052681,5.2681,-5.2681,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035672,2025-08-16,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035675,2025-08-16,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035492,2025-08-23,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035493,2025-08-23,upward_tier_move,1-5,0.028917,2.8917,4.6475,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035494,2025-08-23,upward_tier_move,1-5,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035499,2025-08-30,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035504,2025-08-30,upward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035680,2025-08-30,downward_tier_move,1-5,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035509,2025-09-13,upward_tier_move,6-10,0.012607,1.2607,2.3227,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035511,2025-09-13,downward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035511,2025-09-13,upward_tier_move,6-10,0.017606,1.7606,-1.7606,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035689,2025-09-13,downward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035695,2025-09-13,downward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035515,2025-09-20,downward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035516,2025-09-20,upward_tier_move,6-10,0.025840,2.5840,-2.5840,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035690,2025-09-20,downward_tier_move,6-10,0.001410,0.1410,-0.1410,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035694,2025-09-20,downward_tier_move,6-10,0.012693,1.2693,-1.2693,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035518,2025-09-27,downward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035519,2025-09-27,upward_tier_move,6-10,0.039724,3.9724,-3.9724,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035521,2025-09-27,upward_tier_move,6-10,0.031238,3.1238,4.4695,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035698,2025-09-27,downward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035703,2025-09-27,downward_tier_move,6-10,0.030418,3.0418,10.1353,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035522,2025-10-04,downward_tier_move,6-10,0.061104,6.1104,16.7669,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035524,2025-10-04,upward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035526,2025-10-04,upward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035704,2025-10-04,downward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035705,2025-10-04,downward_tier_move,6-10,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035527,2025-10-18,upward_tier_move,6-10,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
