lambda,fold,sd_rating,sd_rating_exposed,sd_delta_lineup
100.0,29,0.21568121246571367,0.24727712562665885,1.5681147587374606
100.0,30,0.21568121246571367,0.24727712562665885,1.1674426104502076
100.0,31,0.21568121246571367,0.24727712562665885,1.5463101543534843
100.0,32,0.21568121246571367,0.24727712562665885,0.8804267216193787
100.0,33,0.21568121246571367,0.24727712562665885,1.269069234327331
100.0,34,0.21568121246571367,0.24727712562665885,1.2530406388722841
100.0,35,0.21568121246571367,0.24727712562665885,1.5177510056998353
100.0,36,0.21568121246571367,0.24727712562665885,1.0281034840630305
100.0,37,0.21568121246571367,0.24727712562665885,1.2995484635679169
100.0,38,0.21568121246571367,0.24727712562665885,0.9741845190323373
100.0,39,0.21568121246571367,0.24727712562665885,1.1304687044122144
100.0,40,0.21568121246571367,0.24727712562665885,1.2915646213400915
250.0,1,0.12706893995843443,0.14596071327841945,0.6064161671542231
250.0,2,0.12706893995843443,0.14596071327841945,0.7657042229374604
250.0,3,0.12706893995843443,0.14596071327841945,0.44463931472220947
250.0,4,0.12706893995843443,0.14596071327841945,0.7320202677247923
250.0,5,0.12706893995843443,0.14596071327841945,0.5010770019436555
250.0,6,0.12706893995843443,0.14596071327841945,0.5194736896403607
250.0,7,0.12706893995843443,0.14596071327841945,0.6704748375436861
250.0,8,0.12706893995843443,0.14596071327841945,0.770764780506553
250.0,9,0.12706893995843443,0.14596071327841945,0.7030718948413531
250.0,10,0.12706893995843443,0.14596071327841945,0.7133278564999249
250.0,11,0.12706893995843443,0.14596071327841945,0.650706131593009
250.0,12,0.12706893995843443,0.14596071327841945,0.7956492471777042
250.0,13,0.12706893995843443,0.14596071327841945,0.5947445815158343
250.0,14,0.12706893995843443,0.14596071327841945,0.6334600598310404
250.0,15,0.12706893995843443,0.14596071327841945,0.5991098615664543
250.0,16,0.12706893995843443,0.14596071327841945,0.46322544047676173
250.0,17,0.12706893995843443,0.14596071327841945,0.6593538451738631
250.0,18,0.12706893995843443,0.14596071327841945,0.7154488691891395
250.0,19,0.12706893995843443,0.14596071327841945,0.5609436297159522
250.0,20,0.12706893995843443,0.14596071327841945,0.3932690198563104
250.0,21,0.12949319937679662,0.1495690965693209,0.991814505944697
250.0,22,0.12949319937679662,0.1495690965693209,1.1111860571116599
250.0,23,0.12949319937679662,0.1495690965693209,0.9549360793160662
250.0,24,0.12949319937679662,0.1495690965693209,1.0090926668918394
250.0,25,0.12949319937679662,0.1495690965693209,0.9717317427002344
250.0,26,0.12949319937679662,0.1495690965693209,0.847538684898704
250.0,27,0.12949319937679662,0.1495690965693209,1.1247954525946502
250.0,28,0.12949319937679662,0.1495690965693209,1.093467329871085
250.0,29,0.12949319937679662,0.1495690965693209,1.1233099567520417
250.0,30,0.12949319937679662,0.1495690965693209,0.8962010464035514
250.0,31,0.12949319937679662,0.1495690965693209,1.0928782710837313
250.0,32,0.12949319937679662,0.1495690965693209,0.6060504092908195
250.0,33,0.12949319937679662,0.1495690965693209,0.8818016234285295
