left,right,scope,cut,n_obs,n_fixtures,delta,lo,hi,p_negative,significant
m05_joint_td_turf_dual,m05_joint_td_raw,BTTS,all fixtures,356,178,0.00027038865849498466,-0.001824230065322497,0.0023998998341458228,0.4062,false
m05_joint_td_turf_dual,m05_joint_td_raw,BTTS,excluding T003,354,177,-7.29337967915363e-5,-0.0021047082411716385,0.0019247105109753513,0.5224,false
m05_joint_td_turf_dual,m05_joint_td_raw,BTTS,turf home,226,113,-0.0004895279999554119,-0.0030970343694432002,0.0021607472473030983,0.6352,false
m05_joint_td_turf_dual,m05_joint_td_raw,BTTS,grass home,130,65,0.0015914745416472126,-0.0018114617494493534,0.005248022393039695,0.1939,false
m05_joint_td_turf_dual,m05_joint_td_raw,BTTS,grass visitor at turf,70,35,0.002049349492103761,-0.0034381092195435083,0.00786026488482832,0.2366,false
m05_joint_td_turf_dual,m05_joint_td_raw,BTTS,midweek,34,17,0.0008153144052714814,-0.006168807166060053,0.007702680332202324,0.4099,false
m05_joint_td_turf_dual,m05_joint_td_raw,BTTS,not midweek,322,161,0.0002128499150465347,-0.002037482528964514,0.0024707304445134868,0.4208,false
m05_joint_td_contextual,m05_joint_td_raw,BTTS,all fixtures,356,178,0.0007313661108169642,-0.0016687500943930963,0.0031270359952848127,0.272,false
m05_joint_td_contextual,m05_joint_td_raw,BTTS,excluding T003,354,177,0.0003929359889630583,-0.0019569692675940444,0.0027163641299256347,0.3647,false
m05_joint_td_contextual,m05_joint_td_raw,BTTS,turf home,226,113,-6.782393003851847e-5,-0.0032546110232709357,0.0031454919147384393,0.5163,false
m05_joint_td_contextual,m05_joint_td_raw,BTTS,grass home,130,65,0.0021207272587657265,-0.0013168575269475193,0.005734482495580643,0.1173,false
m05_joint_td_contextual,m05_joint_td_raw,BTTS,grass visitor at turf,70,35,0.003151016379977724,-0.003051919349736107,0.009299692767527462,0.1601,false
m05_joint_td_contextual,m05_joint_td_raw,BTTS,midweek,34,17,-5.9721989102551e-5,-0.010205851393955424,0.009976843543561743,0.4976,false
m05_joint_td_contextual,m05_joint_td_raw,BTTS,not midweek,322,161,0.0008148971524233726,-0.001650066750480479,0.003262801695138692,0.2557,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,all fixtures,356,178,-0.0003127455417997501,-0.002165828701892561,0.0015870151917735521,0.6219,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,excluding T003,354,177,-0.0006182981553104654,-0.0023943826339324504,0.0011517556450325308,0.7481,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,turf home,226,113,-0.0009931522800793234,-0.003352157897585401,0.0011816182223361278,0.81,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,grass home,130,65,0.0008701154032093543,-0.002396686544420534,0.004297617032990517,0.3089,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,grass visitor at turf,70,35,0.0011943941465964328,-0.001639816822678939,0.004047762954658801,0.2043,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,midweek,34,17,0.0018491956637957663,-0.0018028828977109715,0.005580370890088871,0.1689,false
m05_joint_production_wealth_hier_ha,m05_joint_td_raw,BTTS,not midweek,322,161,-0.0005410250479806431,-0.0025928660019019388,0.0014543074199565023,0.7006,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,BTTS,all fixtures,356,178,0.0007173206266965383,-0.001840663025197497,0.0032249442514754338,0.2841,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,BTTS,excluding T003,354,177,0.00038583796456569065,-0.0020980589347489153,0.0028013904513110193,0.3774,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,BTTS,turf home,226,113,4.7242153858166075e-5,-0.003412271119708105,0.0035157396196781473,0.4831,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,BTTS,grass home,130,65,0.0018822262794770932,-0.0013605121350469312,0.005380910204434936,0.1321,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,BTTS,grass visitor at turf,70,35,0.002635553293359204,-0.004387519467588047,0.00969432750025603,0.2369,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,BTTS,midweek,34,17,-2.4825759530291163e-5,-0.010723999710802718,0.010875834490243803,0.5035,false
m12_joint_hybrid_contextual,m12_hybrid_td_raw,BTTS,not midweek,322,161,0.0007956839097142781,-0.0018030823381725064,0.0033813481691327336,0.2658,false
m05_joint_td_turf_asym,betfair_close,BTTS,all fixtures,356,178,0.0015232884579751025,-0.008094689550384336,0.011016351058586192,0.3703,false
m05_joint_td_turf_dual,betfair_close,BTTS,all fixtures,356,178,0.0009452508209955333,-0.008744578491892604,0.010571964972789238,0.4189,false
m05_joint_td_contextual,betfair_close,BTTS,all fixtures,356,178,0.001406228273317514,-0.008287645607991964,0.010946298067492604,0.3812,false
m05_joint_production_wealth_hier_ha,betfair_close,BTTS,all fixtures,356,178,0.0003621166207007987,-0.009449102609304332,0.00997024076994041,0.4668,false
m12_joint_hybrid_contextual,betfair_close,BTTS,all fixtures,356,178,0.0025441825742181694,-0.0074226870320123805,0.01250064283454911,0.3036,false
m05_joint_td_raw,betfair_close,BTTS,all fixtures,356,178,0.0006748621625005494,-0.009059872054877401,0.010267427080824655,0.4441,false
m12_hybrid_td_raw,betfair_close,BTTS,all fixtures,356,178,0.0018268619475216316,-0.008118526778824436,0.011798615201944007,0.3551,false
