model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m01_decomposed_baseline,C,2,2,20262912,16,2647.123146057129,3933.767320871353,1286.6441748142242,ok,15.999991040616726,4.0,15.0,0.26807891119647437,0.9142209694610144,0
m00_recombined_control,A,2,2,20262912,4,2697.9830598831177,5697.565700054169,2999.582640171051,ok,15.99999340895511,4.999,31.0,0.16413200317180998,0.9521471463674055,0
m00_recombined_control,B,2,2,20262912,10,2817.8133020401,4632.46333193779,1814.6500298976898,ok,15.99999239527978,5.0,31.0,0.1627261148977902,0.9619774854241573,0
m01_decomposed_baseline,B,2,2,20262912,6,2873.4060769081116,4106.427453041077,1233.021376132965,ok,15.999991169770887,4.0,15.0,0.24916360878228386,0.9427948221395073,0
m00_recombined_control,C,2,2,20262912,5,2914.5597970485687,4483.795378923416,1569.2355818748474,ok,15.999992367800576,4.476,32.152,0.19843203158419306,0.94233710154051,0
m00_recombined_control,C,2,3,20262913,7,2962.1242129802704,4256.895474910736,1294.7712619304657,ok,15.999992194877498,4.016,16.216,0.21418007023463256,0.9329618587655365,0
m01_decomposed_baseline,C,2,3,20262913,17,2969.4797990322113,4353.949305057526,1384.4695060253143,ok,15.999992735176807,4.084,19.576,0.20962514742541843,0.937419490848994,0
m01_decomposed_baseline,A,2,3,20262913,2,3019.3759660720825,5534.97331905365,2515.5973529815674,ok,15.999993988824022,4.999,31.0,0.15780253897373242,0.9653069725918666,0
m00_recombined_control,B,2,3,20262913,11,3333.7301630973816,5034.199532985687,1700.4693698883057,ok,15.999993230360712,4.824,29.592,0.18882542370245103,0.9475575848897223,0
m00_recombined_control,A,2,3,20262913,12,3501.521688938141,6381.383858919144,2879.862169981003,ok,15.999992905797134,4.902,30.056,0.18268993189246352,0.9505717145684074,0
m01_decomposed_baseline,B,2,3,20262913,3,3511.0790638923645,4660.590893030167,1149.5118291378021,ok,15.999991921851882,4.0,15.064,0.2328476833962414,0.9452288947412653,0
m00_recombined_control,B,2,4,20262914,14,3645.538354873657,5377.65487408638,1732.1165192127228,ok,15.99999371289004,5.0,31.0,0.1450065669762288,0.9748442338557801,0
m00_recombined_control,A,2,4,20262914,13,3842.3167119026184,6741.4254269599915,2899.108715057373,ok,15.999994263119016,4.889,29.976,0.18469805011948484,0.9463622130137812,0
m01_decomposed_baseline,C,2,4,20262914,16,3933.7680139541626,5062.471047878265,1128.7030339241028,ok,15.999995886461479,4.0,15.0,0.2597521061932832,0.9292953866259785,0
m01_decomposed_baseline,A,2,4,20262914,15,4068.4449849128723,6654.314599990845,2585.8696150779724,ok,15.999994292509871,4.974,30.84,0.1702302427597016,0.9684238470157085,0
m01_decomposed_baseline,B,2,4,20262914,6,4106.428049087524,5452.283303976059,1345.8552548885345,ok,15.99999640987327,4.108,20.92,0.2147022841009899,0.9524820197103818,0
m00_recombined_control,C,2,4,20262914,7,4256.896050930023,5491.038239002228,1234.1421880722046,ok,15.999996059012437,4.0,15.0,0.25995298217431023,0.9080971547698322,0
m00_recombined_control,C,3,1,20263911,17,4353.94983792305,5591.80399107933,1237.8541531562805,ok,15.999995696788769,4.0,15.032,0.22987484248146223,0.8906083754836863,0
m00_recombined_control,A,3,1,20263911,5,4483.795783042908,7275.110776901245,2791.3149938583374,ok,15.999994360939333,5.0,31.0,0.13065515941244502,0.9765230754827442,0
m01_decomposed_baseline,B,3,1,20263911,10,4632.463897943497,6117.1102159023285,1484.6463179588318,ok,15.999993257329534,4.694,30.168,0.19481949945949129,0.9640238151336384,0
m01_decomposed_baseline,C,3,1,20263911,3,4660.591392993927,5900.907753944397,1240.31636095047,ok,15.999992849843665,4.0,15.128,0.22572155674927433,0.9438300144832851,0
m00_recombined_control,B,3,1,20263911,8,4933.538964986801,6540.0957889556885,1606.5568239688873,ok,15.9999936423961,5.0,31.0,0.12095346642887012,0.9824752221918971,0
m01_decomposed_baseline,A,3,1,20263911,11,5034.199944972992,7442.9812750816345,2408.7813301086426,ok,15.999993723548606,4.3,27.976,0.20448352328772013,0.9557005089106358,0
m00_recombined_control,C,3,2,20263912,16,5062.471405982971,6591.700052022934,1529.2286460399628,ok,15.999993494281908,4.704,30.712,0.1915795332299738,0.9362189291167055,0
m00_recombined_control,A,3,2,20263912,9,5179.80987405777,8144.890940904617,2965.0810668468475,ok,15.99999392310574,4.979,30.824,0.17126508553826497,0.9566121499599167,0
m01_decomposed_baseline,A,3,2,20263912,14,5377.655428886414,7285.3840239048,1907.7285950183868,ok,15.999993173234957,4.0,15.0,0.2583404222250906,0.9285837333572884,0
m00_recombined_control,B,3,2,20263912,6,5452.283911943436,7224.489963054657,1772.2060511112213,ok,15.999993533715227,4.838,29.976,0.18582623375607574,0.9481853868054374,0
m01_decomposed_baseline,C,3,2,20263912,7,5491.03879904747,6821.19841003418,1330.1596109867096,ok,15.999993091171875,4.0,15.0,0.29909134913525054,0.8997061751860936,0
m01_decomposed_baseline,B,3,2,20263912,2,5534.9737548828125,6968.488106966019,1433.5143520832062,ok,15.999993197280022,4.252,25.848,0.20509336241656226,0.9570546343617993,0
m01_decomposed_baseline,A,3,3,20263913,17,5591.804575920105,7752.488738059998,2160.6841621398926,ok,15.999993927437478,4.0,15.0,0.26306812919614525,0.9149335754655572,0
m01_decomposed_baseline,C,3,3,20263913,4,5697.5701270103455,6961.923496007919,1264.3533689975739,ok,15.999996676461217,4.0,15.0,0.23975977153422667,0.9314471834925978,0
m00_recombined_control,B,3,3,20263913,3,5900.9083960056305,7478.277024030685,1577.368628025055,ok,15.999995532472362,5.0,31.0,0.1651121847705155,0.963278878760036,0
m00_recombined_control,C,3,3,20263913,10,6117.110769033432,7671.2274169921875,1554.1166479587555,ok,15.99999555322894,4.966,30.68,0.17538932141248517,0.9585624552903209,0
m00_recombined_control,A,3,3,20263913,12,6381.384479045868,9097.789665937424,2716.405186891556,ok,15.999995363906745,4.895,29.928,0.1805755701629985,0.9521879201133288,0
m01_decomposed_baseline,B,3,3,20263913,8,6540.096293926239,8089.39816904068,1549.301875114441,ok,15.999994811366745,4.18,23.736,0.2109885811573499,0.9556789978780263,0
m01_decomposed_baseline,A,3,4,20263914,16,6591.7004470825195,8816.558948040009,2224.858500957489,ok,15.99999499535612,4.096,20.584,0.2085200872649853,0.9575895823200479,0
m01_decomposed_baseline,C,3,4,20263914,15,6654.315193891525,7833.498534917831,1179.1833410263062,ok,15.999995019666377,4.0,15.0,0.2556137364374271,0.9109063953003017,0
m00_recombined_control,B,3,4,20263914,13,6741.425859928131,8345.609456062317,1604.1835961341858,ok,15.999994969408686,4.906,30.296,0.18530105652335582,0.9561434711308173,0
m01_decomposed_baseline,B,3,4,20263914,7,6821.198869943619,8078.9570899009705,1257.7582199573517,ok,15.9999956121032,4.0,15.096,0.21826376903232841,0.9453489999381749,0
m00_recombined_control,C,3,4,20263914,4,6961.924033880234,8243.798801898956,1281.8747680187225,ok,15.999994857504447,4.0,15.032,0.23158715735974922,0.9199296826536026,0
m00_recombined_control,A,3,4,20263914,2,6968.488818883896,9728.191066026688,2759.7022471427917,ok,15.99999405945393,4.39,30.589,0.20074261607137284,0.9249424040831496,1
m00_recombined_control,C,4,1,20264911,6,7224.490317106247,8664.371490001678,1439.8811728954315,ok,15.999995043961526,5.0,31.0,0.13403044792314078,0.9752174781240048,0
m01_decomposed_baseline,A,4,1,20264911,5,7275.111378908157,9807.180427074432,2532.069048166275,ok,15.992624521444286,5.0,31.0,0.1177556169928974,0.9858330770270157,0
m00_recombined_control,A,4,1,20264911,14,7285.384747982025,9976.239698886871,2690.854950904846,ok,15.867405323949544,5.0,31.0,0.1429350128345728,0.9730731209030932,0
m01_decomposed_baseline,B,4,1,20264911,11,7442.981832027435,8635.974097013474,1192.9922649860382,ok,15.99999602579832,4.0,15.032,0.22797407014044965,0.9398365320166419,0
m01_decomposed_baseline,C,4,1,20264911,3,7478.27744102478,8667.501996040344,1189.224555015564,ok,15.999995538264447,4.04,17.656,0.21341566529102537,0.94705453833357,0
m00_recombined_control,B,4,1,20264911,10,7671.228004932404,9295.169923067093,1623.9419181346893,ok,15.99999351460653,5.0,31.0,0.15235030845449413,0.9701479602083848,0
