model,environment,variant,route,run_id,t012_mode,lambda,beta,nominal_floor,nominal_drawdown_pct,n_panel,n_slates,n_bets,terminal_return_pct,cagr_pct,roi_pct,sharpe_ann,sortino,calmar,max_drawdown_pct,realised_drawdown_pct,win_rate_pct,total_turnover,mean_slate_exposure,max_slate_exposure,mean_k_risk,n_capped,overshoot_ratio,pareto_drawdown_sharpe,pareto_all_metrics
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,8.0,0.01,0.5623413251903491,43.76586748096509,594,99,1094,417.03859228534014,159.22293926114205,15.872007830419308,1.225672438078192,0.19561727541699797,9.437054176231417,-44.19160730641052,44.19160730641052,32.81535648994516,13.78542783113811,0.13924674576907176,0.25000000000000006,0.852842304579276,10,1.0097276679282225,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,10.0,0.01,0.6309573444801932,36.90426555198067,594,99,1094,298.9175625282693,123.03301921025937,15.379391927912256,1.2238965368455894,0.19288260634677398,7.354067673694279,-40.64656130341395,40.64656130341395,32.81535648994516,11.49905851942681,0.1161521062568365,0.25000000000000006,0.701227961550843,3,1.1014055068014332,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,12.0,0.01,0.6812920690579612,31.870793094203876,594,99,1094,233.2965476219229,100.96359412795049,15.184100723805559,1.2434627496396766,0.19571347544132292,6.339332315495619,-36.80143838676226,36.80143838676226,32.81535648994516,9.781653937603128,0.09880458522831441,0.25000000000000006,0.5925493784169545,1,1.1547073296225905,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,15.0,0.01,0.7356422544596414,26.435774554035863,594,99,1094,180.41893177120173,81.81161765721812,15.261055899243102,1.3063959427131464,0.20923994121790387,5.876902166914597,-30.699665682187554,30.699665682187554,32.81535648994516,7.982662360714925,0.08063295313853461,0.25,0.48077010410329607,1,1.1612924606932213,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,18.0,0.01,0.7742636826811271,22.57363173188729,594,99,1094,144.71765867226395,68.00930674678676,15.282920325044723,1.343763167088255,0.21769651846028237,5.4986419569838185,-26.318800133632674,26.318800133632674,32.81535648994516,6.72740102415944,0.06795354569858023,0.22256467745860647,0.40446539656884267,0,1.1659089882491083,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,20.0,0.01,0.7943282347242815,20.567176527571853,594,99,1094,127.15175159756184,60.9083179856835,15.281366534409138,1.3605441027818024,0.2216282128865012,5.291729727063954,-24.028391122709568,24.028391122709568,32.81535648994516,6.08341949064902,0.061448681723727486,0.20127428960347024,0.3657628657250826,0,1.168288271873278,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,23.0,0.01,0.8185467307069029,18.145326929309714,594,99,1094,107.31693364943418,52.6064118921401,15.279500762928897,1.3803622680547274,0.22633321257655178,5.05002221995279,-21.250784447130098,21.250784447130098,32.81535648994516,5.3195696801653085,0.05373302707237684,0.17601622516005008,0.319852530361498,0,1.1711436520222853,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,28.0,0.01,0.848342898244072,15.165710175592794,594,99,1094,84.88767513874681,42.80488641692506,15.277219269157552,1.4041248588940447,0.2320654360074798,4.765184158081513,-17.81414365587143,17.81414365587143,32.81535648994516,4.398963091471997,0.04443397062092926,0.14556831102074924,0.26451477793318434,0,1.1746330010012282,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,35.0,0.01,0.8767123872968682,12.328761270313182,594,99,1094,65.45468305050812,33.90037419213845,15.275060726994585,1.4261514477100277,0.23747030922779938,4.507139448443247,-14.522444623521904,14.522444623521904,32.81535648994516,3.5410065415982057,0.03576774284442633,0.1171866682234215,0.21293712055518466,0,1.177932178676455,false,true
m05_joint_grw_smile_spine_w040,t25,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,45.0,0.01,0.9027251779484575,9.727482205154248,594,99,1094,49.1885266940284,26.102931007908126,15.273092743909038,1.4458651166367384,0.2423848176474123,4.281896083031952,-11.48755732044732,11.48755732044732,32.81535648994516,2.769377352767537,0.02797350861381352,0.09165641690209354,0.16654426903743338,0,1.180938405043853,true,true
