fold,side,parameter,mean,sd,q05,q50,q95,prior_mean,prior_sd
36,α,σᵥ,0.01384100453528708,0.00885118064891613,0.0028272760345807234,0.012358724417721647,0.03032767698936093,0.015,0.010606601717798213
36,β,φ,0.5018205539724625,0.21859047930322137,0.12021211863917555,0.5129676715903702,0.842259730114248,0.5,0.22360679774997896
36,β,σᵥ,0.013358574074830976,0.008584448610568793,0.0026323336403067635,0.011683465037795115,0.029730228902010193,0.012,0.00848528137423857
37,α,φ,0.4601435291696031,0.21621566523161156,0.1250446264306324,0.455548383560228,0.8042502800964677,0.5,0.22360679774997896
37,α,σᵥ,0.01253583077141912,0.008179928050937164,0.0022452668052164457,0.011061881875234249,0.027325050945998908,0.015,0.010606601717798213
37,β,φ,0.4980073706802266,0.2160701090837597,0.13258307807617453,0.5157762234609399,0.8379614352069141,0.5,0.22360679774997896
37,β,σᵥ,0.011202083791942733,0.008018400955202936,0.0019428331349039749,0.009445862249046193,0.026243275907911003,0.012,0.00848528137423857
38,α,φ,0.4740336804877057,0.2193988800735669,0.13373528653719377,0.465443105177906,0.8418753351275874,0.5,0.22360679774997896
38,α,σᵥ,0.012565594378508006,0.008076084741685792,0.0024457874992322008,0.011114864970375636,0.02833258218800005,0.015,0.010606601717798213
38,β,φ,0.48241258064552706,0.21583486448511752,0.13090977604058696,0.489787073745256,0.8255857764185747,0.5,0.22360679774997896
38,β,σᵥ,0.010976919609810247,0.007245050143772385,0.0018420874174118191,0.009481458113537702,0.02574450926970398,0.012,0.00848528137423857
39,α,φ,0.4783695965558889,0.21176119212525696,0.1319835436859346,0.47763729388294196,0.8196331226919789,0.5,0.22360679774997896
39,α,σᵥ,0.012830472341470367,0.008052517612575767,0.002845125177395175,0.011361279478888608,0.028355438402661824,0.015,0.010606601717798213
39,β,φ,0.4420839782201575,0.20799009738431187,0.11869939062133934,0.44431708320162555,0.7827095163211805,0.5,0.22360679774997896
39,β,σᵥ,0.010140420364857343,0.006686952716527181,0.001671008218891313,0.008890989681110916,0.022499305004716013,0.012,0.00848528137423857
40,α,φ,0.45915650469190195,0.20562009637969403,0.12798633502227807,0.4639650265777976,0.7955488172839763,0.5,0.22360679774997896
40,α,σᵥ,0.011281627156059196,0.007354096885754919,0.0022292880539751155,0.010056532516865668,0.02535145214585244,0.015,0.010606601717798213
40,β,φ,0.44497133700600683,0.20794118948200396,0.11957596156819368,0.4358135439781833,0.7954550491131843,0.5,0.22360679774997896
40,β,σᵥ,0.010668028502024805,0.007141120237235087,0.0020164386953151685,0.009173743385345035,0.023888005472430907,0.012,0.00848528137423857
