match_id,tournament_id,match_date,bbc_home_shots,bbc_away_shots
12476729,56,2024-12-07,5,11
12476724,56,2024-12-07,11,4
12476730,56,2024-12-07,12,5
12476720,56,2024-12-14,8,7
12476722,56,2024-12-14,7,8
12476721,56,2024-12-14,8,5
12476728,56,2024-12-07,6,9
13179034,56,2024-12-17,8,7
12476725,56,2024-12-14,15,15
12476723,56,2024-12-14,12,8
12476726,56,2024-12-21,6,18
12476718,56,2024-12-21,3,11
12476716,56,2024-12-21,7,10
12476719,56,2024-12-21,10,5
12476717,56,2024-12-21,7,7
12476713,56,2024-12-28,10,12
12476715,56,2024-12-28,6,9
12476714,56,2024-12-28,6,9
12476710,56,2024-12-28,8,8
12476712,56,2024-12-28,5,4
12476711,56,2025-01-04,13,8
12476708,56,2025-01-04,10,5
12476707,56,2025-01-04,8,5
12476705,56,2025-01-11,10,17
12476709,56,2025-01-04,9,8
12476706,56,2025-01-04,10,9
12476701,56,2025-01-11,12,11
13324922,56,2025-01-18,7,19
12476697,56,2025-01-25,7,7
13197505,56,2025-01-21,16,11
12476698,56,2025-01-25,4,11
12476700,56,2025-01-25,12,8
12476696,56,2025-01-25,15,6
12476693,56,2025-02-01,5,3
12476695,56,2025-02-01,8,11
12476691,56,2025-02-01,12,14
12476692,56,2025-02-01,4,10
12476699,56,2025-02-01,6,6
12476689,56,2025-02-08,8,11
12476685,56,2025-02-08,9,12
12476686,56,2025-02-08,7,13
12476688,56,2025-02-15,6,3
12476690,56,2025-02-08,11,13
13391276,56,2025-02-11,12,5
12476684,56,2025-02-15,7,8
12476679,56,2025-02-22,11,6
12476681,56,2025-02-15,13,7
12476682,56,2025-02-15,8,7
12476678,56,2025-02-22,18,3
12476675,56,2025-02-22,13,7
12476680,56,2025-02-22,13,7
12476677,56,2025-02-22,1,8
13415294,56,2025-02-25,11,5
12476674,56,2025-03-01,11,15
12476671,56,2025-03-01,13,1
12476670,56,2025-03-01,16,6
12476672,56,2025-03-01,12,11
13343733,56,2025-03-04,4,13
12476669,56,2025-03-01,6,6
12476667,56,2025-03-08,11,12
12476662,56,2025-03-08,11,15
12476673,56,2025-03-08,6,11
12476676,56,2025-03-08,8,8
12476668,56,2025-03-08,5,6
13399583,56,2025-03-11,4,10
13480337,56,2025-03-11,8,9
12476665,56,2025-03-15,11,8
12476661,56,2025-03-15,12,10
12476666,56,2025-03-15,17,2
12476663,56,2025-03-15,6,7
12476660,56,2025-03-15,10,10
12640468,56,2025-03-22,10,8
12476657,56,2025-03-22,14,5
12476659,56,2025-03-22,9,11
12476664,56,2025-03-22,7,7
12476658,56,2025-03-22,9,10
12476656,56,2025-03-29,10,11
12476654,56,2025-03-29,6,4
12476652,56,2025-03-29,9,6
12476651,56,2025-03-29,12,12
12476648,56,2025-04-05,6,9
12476655,56,2025-03-29,12,2
12476649,56,2025-04-05,6,7
12476653,56,2025-04-05,8,8
12476650,56,2025-04-05,3,12
12476646,56,2025-04-05,9,19
12476645,56,2025-04-12,5,6
12476642,56,2025-04-12,11,8
12476647,56,2025-04-12,10,3
12476643,56,2025-04-12,15,3
12476640,56,2025-04-19,8,5
12476644,56,2025-04-12,11,6
12476641,56,2025-04-19,12,7
12476637,56,2025-04-19,7,6
12476639,56,2025-04-19,2,12
12473328,56,2025-04-26,9,1
12476638,56,2025-04-19,11,9
12473336,56,2025-04-26,16,8
12473335,56,2025-04-26,7,12
12473322,56,2025-04-26,14,10
12473327,56,2025-04-26,13,8
12473331,56,2025-05-03,8,12
12473333,56,2025-05-03,9,22
12473334,56,2025-05-03,13,4
12473337,56,2025-05-03,12,11
12473330,56,2025-05-03,14,9
11395666,56,2023-08-05,9,4
11395667,56,2023-08-05,17,4
11395665,56,2023-08-05,11,11
11395664,56,2023-08-05,9,10
11395662,56,2023-08-05,12,5
11395659,56,2023-08-12,7,13
11395658,56,2023-08-12,5,16
11395663,56,2023-08-12,3,4
11395661,56,2023-08-12,16,4
11395660,56,2023-08-12,8,14
11395657,56,2023-08-19,9,23
11395654,56,2023-08-19,8,19
11395653,56,2023-08-19,12,6
11395655,56,2023-08-19,7,9
11527786,56,2023-08-22,12,3
11395647,56,2023-08-26,8,7
11395649,56,2023-08-26,7,4
11395651,56,2023-08-26,15,6
11395652,56,2023-08-26,16,15
