match_id,julia_proxy_xg_home,julia_proxy_xg_away,julia_proxy_xg_available_home,julia_proxy_xg_available_away
9388324,,,0,0
9398640,,,0,0
8824411,,,0,0
8736238,,,0,0
8736240,,,0,0
8736251,,,0,0
8736255,,,0,0
8824325,,,0,0
8824326,,,0,0
8824361,,,0,0
8824425,,,0,0
9361997,,,0,0
9398797,,,0,0
9398799,,,0,0
9398848,,,0,0
9398852,,,0,0
9398868,,,0,0
9398869,,,0,0
9398874,,,0,0
9398879,,,0,0
9400336,,,0,0
9400352,,,0,0
8736248,,,0,0
9398877,,,0,0
9398878,,,0,0
8824295,,,0,0
8824317,,,0,0
8824344,,,0,0
8824346,,,0,0
8824408,,,0,0
9398850,,,0,0
9398851,,,0,0
9398853,,,0,0
9398854,,,0,0
9398855,,,0,0
9398900,,,0,0
9398901,,,0,0
9398908,,,0,0
9398946,,,0,0
9412789,,,0,0
9398639,,,0,0
9422569,,,0,0
9422570,,,0,0
9422571,,,0,0
9422572,,,0,0
9422573,,,0,0
9422574,,,0,0
9422575,,,0,0
9422584,,,0,0
9422585,,,0,0
9424877,,,0,0
9424878,,,0,0
8824327,,,0,0
8824387,,,0,0
9424884,,,0,0
9424885,,,0,0
9424886,,,0,0
8824324,,,0,0
8824339,,,0,0
9424879,,,0,0
9424880,,,0,0
9424881,,,0,0
9424882,,,0,0
9424883,,,0,0
9424887,,,0,0
9424888,,,0,0
9424896,,,0,0
9424898,,,0,0
9424907,,,0,0
9431750,,,0,0
9434155,,,0,0
9434156,,,0,0
8824416,,,0,0
8824288,,,0,0
8824365,,,0,0
8824372,,,0,0
8824381,,,0,0
9431707,,,0,0
9431708,,,0,0
9431709,,,0,0
9431710,,,0,0
9431711,,,0,0
9431737,,,0,0
9431742,,,0,0
9431743,,,0,0
9431751,,,0,0
9431752,,,0,0
8824311,,,0,0
9431712,,,0,0
9431720,,,0,0
9431736,,,0,0
9431740,,,0,0
9431741,,,0,0
9431747,,,0,0
9431749,,,0,0
9431753,,,0,0
9431718,,,0,0
9431721,,,0,0
9431735,,,0,0
8824274,,,0,0
8824284,,,0,0
8824299,,,0,0
9431717,,,0,0
9431719,,,0,0
9431731,,,0,0
9431732,,,0,0
9431738,,,0,0
9431739,,,0,0
8824277,,,0,0
8824374,,,0,0
9431722,,,0,0
9431723,,,0,0
9431724,,,0,0
9431725,,,0,0
9431729,,,0,0
9431730,,,0,0
9431733,,,0,0
9431734,,,0,0
9431746,,,0,0
9431748,,,0,0
8824273,,,0,0
8824276,,,0,0
8824355,,,0,0
8824370,,,0,0
8824394,,,0,0
8824260,,,0,0
8824266,,,0,0
8824360,,,0,0
8824375,,,0,0
8824406,,,0,0
9573812,,,0,0
9573816,,,0,0
9573819,,,0,0
9573820,,,0,0
9573821,,,0,0
9573824,,,0,0
9573900,,,0,0
9574009,,,0,0
9574011,,,0,0
9574026,,,0,0
9574030,,,0,0
9574031,,,0,0
9574033,,,0,0
9574035,,,0,0
9574037,,,0,0
9574140,,,0,0
9574155,,,0,0
9574312,,,0,0
9573827,,,0,0
9573901,,,0,0
9573825,,,0,0
9573815,,,0,0
9573817,,,0,0
9573818,,,0,0
9573826,,,0,0
9573828,,,0,0
9574012,,,0,0
9574021,,,0,0
9574023,,,0,0
9574028,,,0,0
9574032,,,0,0
9574036,,,0,0
9574126,,,0,0
9574141,,,0,0
9574164,,,0,0
9574176,,,0,0
9574212,,,0,0
9574554,,,0,0
9573813,,,0,0
9573822,,,0,0
9573823,,,0,0
9573829,,,0,0
9574335,,,0,0
9574029,,,0,0
9574034,,,0,0
9574039,,,0,0
9574077,,,0,0
9574080,,,0,0
9574154,,,0,0
9574184,,,0,0
9574366,,,0,0
9573832,,,0,0
9573833,,,0,0
9573834,,,0,0
9573877,,,0,0
9573889,,,0,0
9574070,,,0,0
9574076,,,0,0
9574107,,,0,0
9574110,,,0,0
9574118,,,0,0
9574136,,,0,0
9574144,,,0,0
9574208,,,0,0
9574220,,,0,0
9574238,,,0,0
9574333,,,0,0
9573855,,,0,0
9573903,,,0,0
9574123,,,0,0
9574201,,,0,0
9574346,,,0,0
9573831,,,0,0
9573836,,,0,0
9573839,,,0,0
9573860,,,0,0
9573862,,,0,0
9573879,,,0,0
9573899,,,0,0
9574046,,,0,0
9574064,,,0,0
9574142,,,0,0
9574148,,,0,0
9574152,,,0,0
9574189,,,0,0
9574202,,,0,0
9574305,,,0,0
9573853,,,0,0
9573873,,,0,0
9574150,,,0,0
9749919,,,0,0
9762457,,,0,0
9573835,,,0,0
9573838,,,0,0
9573843,,,0,0
9573847,,,0,0
9573861,,,0,0
9573866,,,0,0
9573884,,,0,0
9573893,,,0,0
9573898,,,0,0
9574047,,,0,0
9574049,,,0,0
