match_id,tournament_id,season,match_date,home_team,away_team,home_goals,away_goals,bbc_shot_events_raw,bbc_shot_events_unresolved_side,bbc_shot_events_home_resolved,bbc_shot_events_away_resolved,bbc_parsed_home_resolved,bbc_parsed_away_resolved,proxy_xg_home,proxy_xg_away,proxy_xg_available_home,proxy_xg_available_away,proxy_xg_available_both,proxy_minus_goals_home,proxy_minus_goals_away
8736269,54,20/21,2021-02-27,st-mirren,ross-county,1,0,0,0,0,0,0,0,,,0,0,0,,
8736271,54,20/21,2021-02-27,kilmarnock,dundee-united,1,1,0,0,0,0,0,0,,,0,0,0,,
8736283,54,20/21,2021-02-27,hibernian,motherwell,0,2,0,0,0,0,0,0,,,0,0,0,,
8824226,55,20/21,2021-02-27,greenock-morton,dundee-fc,2,2,0,0,0,0,0,0,,,0,0,0,,
8824230,55,20/21,2021-02-27,raith-rovers,alloa-athletic,3,1,0,0,0,0,0,0,,,0,0,0,,
8824231,55,20/21,2021-02-27,ayr-united,arbroath,0,1,0,0,0,0,0,0,,,0,0,0,,
8824235,55,20/21,2021-02-27,queen-of-the-south,dunfermline-athletic,1,0,0,0,0,0,0,0,,,0,0,0,,
9363667,55,20/21,2021-03-02,dundee-fc,inverness-caledonian-thistle,2,1,0,0,0,0,0,0,,,0,0,0,,
8736265,54,20/21,2021-03-03,livingston,rangers,0,1,0,0,0,0,0,0,,,0,0,0,,
8736294,54,20/21,2021-03-03,hamilton-academical,st-johnstone,1,1,0,0,0,0,0,0,,,0,0,0,,
8736241,54,20/21,2021-03-06,motherwell,livingston,3,1,0,0,0,0,0,0,,,0,0,0,,
8736247,54,20/21,2021-03-06,rangers,st-mirren,3,0,0,0,0,0,0,0,,,0,0,0,,
8736249,54,20/21,2021-03-06,ross-county,kilmarnock,3,2,0,0,0,0,0,0,,,0,0,0,,
8736275,54,20/21,2021-03-06,st-johnstone,hibernian,1,0,0,0,0,0,0,0,,,0,0,0,,
8736280,54,20/21,2021-03-06,aberdeen,hamilton-academical,0,0,0,0,0,0,0,0,,,0,0,0,,
8824341,55,20/21,2021-03-06,heart-of-midlothian,dundee-fc,2,1,0,0,0,0,0,0,,,0,0,0,,
8824348,55,20/21,2021-03-06,alloa-athletic,inverness-caledonian-thistle,1,1,0,0,0,0,0,0,,,0,0,0,,
8824386,55,20/21,2021-03-06,arbroath,queen-of-the-south,2,4,0,0,0,0,0,0,,,0,0,0,,
8824417,55,20/21,2021-03-06,greenock-morton,ayr-united,0,2,0,0,0,0,0,0,,,0,0,0,,
8736250,54,20/21,2021-03-07,dundee-united,celtic,0,0,0,0,0,0,0,0,,,0,0,0,,
9363671,55,20/21,2021-03-09,raith-rovers,ayr-united,0,0,0,0,0,0,0,0,,,0,0,0,,
9363672,55,20/21,2021-03-09,inverness-caledonian-thistle,greenock-morton,0,1,0,0,0,0,0,0,,,0,0,0,,
8824409,55,20/21,2021-03-12,inverness-caledonian-thistle,raith-rovers,0,0,0,0,0,0,0,0,,,0,0,0,,
8824294,55,20/21,2021-03-13,queen-of-the-south,alloa-athletic,2,3,0,0,0,0,0,0,,,0,0,0,,
8824302,55,20/21,2021-03-13,heart-of-midlothian,ayr-united,2,0,0,0,0,0,0,0,,,0,0,0,,
8824364,55,20/21,2021-03-13,dunfermline-athletic,greenock-morton,1,0,0,0,0,0,0,0,,,0,0,0,,
8824388,55,20/21,2021-03-13,dundee-fc,arbroath,2,0,0,0,0,0,0,0,,,0,0,0,,
9362010,54,20/21,2021-03-13,livingston,hamilton-academical,2,1,0,0,0,0,0,0,,,0,0,0,,
9362012,54,20/21,2021-03-13,ross-county,hibernian,1,2,0,0,0,0,0,0,,,0,0,0,,
9388324,55,20/21,2021-03-16,dundee-fc,ayr-united,1,3,0,0,0,0,0,0,,,0,0,0,,
9398640,55,20/21,2021-03-16,raith-rovers,inverness-caledonian-thistle,0,1,0,0,0,0,0,0,,,0,0,0,,
8824411,55,20/21,2021-03-19,alloa-athletic,dundee-fc,0,3,0,0,0,0,0,0,,,0,0,0,,
8736238,54,20/21,2021-03-20,hamilton-academical,st-mirren,1,1,0,0,0,0,0,0,,,0,0,0,,
8736240,54,20/21,2021-03-20,st-johnstone,ross-county,1,0,0,0,0,0,0,0,,,0,0,0,,
8736251,54,20/21,2021-03-20,livingston,hibernian,1,1,0,0,0,0,0,0,,,0,0,0,,
8736255,54,20/21,2021-03-20,dundee-united,aberdeen,1,0,0,0,0,0,0,0,,,0,0,0,,
8824325,55,20/21,2021-03-20,greenock-morton,queen-of-the-south,2,1,0,0,0,0,0,0,,,0,0,0,,
8824326,55,20/21,2021-03-20,dunfermline-athletic,inverness-caledonian-thistle,0,1,0,0,0,0,0,0,,,0,0,0,,
8824361,55,20/21,2021-03-20,ayr-united,raith-rovers,1,1,0,0,0,0,0,0,,,0,0,0,,
8824425,55,20/21,2021-03-20,arbroath,heart-of-midlothian,0,0,0,0,0,0,0,0,,,0,0,0,,
9361997,54,20/21,2021-03-20,kilmarnock,motherwell,4,1,0,0,0,0,0,0,,,0,0,0,,
9398797,56,20/21,2021-03-20,dumbarton,forfar-athletic,0,1,0,0,0,0,0,0,,,0,0,0,,
9398799,56,20/21,2021-03-20,clyde-fc,east-fife,1,3,0,0,0,0,0,0,,,0,0,0,,
9398848,56,20/21,2021-03-20,peterhead,airdrieonians,1,0,0,0,0,0,0,0,,,0,0,0,,
9398852,56,20/21,2021-03-20,falkirk-fc,montrose,2,0,0,0,0,0,0,0,,,0,0,0,,
9398868,57,20/21,2021-03-20,annan-athletic,cowdenbeath,0,0,0,0,0,0,0,0,,,0,0,0,,
9398869,57,20/21,2021-03-20,queens-park-fc,stranraer,3,0,0,0,0,0,0,0,,,0,0,0,,
9398874,57,20/21,2021-03-20,stenhousemuir,albion-rovers,2,0,0,0,0,0,0,0,,,0,0,0,,
9398879,57,20/21,2021-03-20,stirling-albion,brechin-city,1,0,0,0,0,0,0,0,,,0,0,0,,
9400336,57,20/21,2021-03-20,elgin-city,edinburgh-city-fc,1,2,0,0,0,0,0,0,,,0,0,0,,
9400352,56,20/21,2021-03-20,partick-thistle,cove-rangers,1,1,0,0,0,0,0,0,,,0,0,0,,
8736248,54,20/21,2021-03-21,celtic,rangers,1,1,0,0,0,0,0,0,,,0,0,0,,
9398877,57,20/21,2021-03-23,albion-rovers,edinburgh-city-fc,1,2,0,0,0,0,0,0,,,0,0,0,,
9398878,57,20/21,2021-03-23,stranraer,brechin-city,2,0,0,0,0,0,0,0,,,0,0,0,,
8824295,55,20/21,2021-03-27,dundee-fc,dunfermline-athletic,3,2,0,0,0,0,0,0,,,0,0,0,,
8824317,55,20/21,2021-03-27,alloa-athletic,ayr-united,2,2,0,0,0,0,0,0,,,0,0,0,,
8824344,55,20/21,2021-03-27,inverness-caledonian-thistle,arbroath,1,0,0,0,0,0,0,0,,,0,0,0,,
8824346,55,20/21,2021-03-27,raith-rovers,greenock-morton,1,0,0,0,0,0,0,0,,,0,0,0,,
8824408,55,20/21,2021-03-27,heart-of-midlothian,queen-of-the-south,2,3,0,0,0,0,0,0,,,0,0,0,,
9398850,56,20/21,2021-03-27,airdrieonians,partick-thistle,2,4,0,0,0,0,0,0,,,0,0,0,,
9398851,56,20/21,2021-03-27,dumbarton,peterhead,0,1,0,0,0,0,0,0,,,0,0,0,,
9398853,56,20/21,2021-03-27,forfar-athletic,falkirk-fc,0,2,0,0,0,0,0,0,,,0,0,0,,
9398854,56,20/21,2021-03-27,montrose,clyde-fc,2,2,0,0,0,0,0,0,,,0,0,0,,
9398855,56,20/21,2021-03-27,east-fife,cove-rangers,0,0,0,0,0,0,0,0,,,0,0,0,,
9398900,57,20/21,2021-03-27,albion-rovers,annan-athletic,1,1,0,0,0,0,0,0,,,0,0,0,,
9398901,57,20/21,2021-03-27,brechin-city,queens-park-fc,0,2,0,0,0,0,0,0,,,0,0,0,,
9398908,57,20/21,2021-03-27,cowdenbeath,stranraer,1,0,0,0,0,0,0,0,,,0,0,0,,
9398946,57,20/21,2021-03-27,elgin-city,stirling-albion,1,1,0,0,0,0,0,0,,,0,0,0,,
9412789,57,20/21,2021-03-27,edinburgh-city-fc,stenhousemuir,3,1,0,0,0,0,0,0,,,0,0,0,,
9398639,55,20/21,2021-03-30,raith-rovers,dunfermline-athletic,5,1,0,0,0,0,0,0,,,0,0,0,,
9422569,57,20/21,2021-03-30,cowdenbeath,edinburgh-city-fc,1,3,0,0,0,0,0,0,,,0,0,0,,
9422570,56,20/21,2021-03-30,montrose,east-fife,3,0,0,0,0,0,0,0,,,0,0,0,,
9422571,57,20/21,2021-03-30,albion-rovers,queens-park-fc,0,3,0,0,0,0,0,0,,,0,0,0,,
9422572,57,20/21,2021-03-30,brechin-city,elgin-city,1,2,0,0,0,0,0,0,,,0,0,0,,
9422573,56,20/21,2021-03-30,falkirk-fc,dumbarton,1,1,0,0,0,0,0,0,,,0,0,0,,
9422574,56,20/21,2021-03-30,partick-thistle,forfar-athletic,2,2,0,0,0,0,0,0,,,0,0,0,,
9422575,56,20/21,2021-03-30,cove-rangers,airdrieonians,2,0,0,0,0,0,0,0,,,0,0,0,,
9422584,57,20/21,2021-03-30,stirling-albion,stenhousemuir,1,0,0,0,0,0,0,0,,,0,0,0,,
9422585,56,20/21,2021-03-30,peterhead,clyde-fc,0,2,0,0,0,0,0,0,,,0,0,0,,
9424877,56,20/21,2021-04-01,dumbarton,airdrieonians,0,1,0,0,0,0,0,0,,,0,0,0,,
9424878,56,20/21,2021-04-01,east-fife,clyde-fc,1,0,0,0,0,0,0,0,,,0,0,0,,
8824327,55,20/21,2021-04-03,dunfermline-athletic,heart-of-midlothian,0,0,0,0,0,0,0,0,,,0,0,0,,
8824387,55,20/21,2021-04-03,arbroath,alloa-athletic,2,1,0,0,0,0,0,0,,,0,0,0,,
9424884,57,20/21,2021-04-03,annan-athletic,elgin-city,0,3,0,0,0,0,0,0,,,0,0,0,,
9424885,57,20/21,2021-04-03,cowdenbeath,albion-rovers,0,1,0,0,0,0,0,0,,,0,0,0,,
9424886,57,20/21,2021-04-03,queens-park-fc,stirling-albion,1,0,0,0,0,0,0,0,,,0,0,0,,
8824324,55,20/21,2021-04-06,greenock-morton,inverness-caledonian-thistle,1,4,0,0,0,0,0,0,,,0,0,0,,
8824339,55,20/21,2021-04-06,ayr-united,dundee-fc,0,3,0,0,0,0,0,0,,,0,0,0,,
9424879,56,20/21,2021-04-06,dumbarton,montrose,0,0,0,0,0,0,0,0,,,0,0,0,,
9424880,56,20/21,2021-04-06,airdrieonians,falkirk-fc,2,1,0,0,0,0,0,0,,,0,0,0,,
9424881,56,20/21,2021-04-06,clyde-fc,cove-rangers,1,1,0,0,0,0,0,0,,,0,0,0,,
9424882,56,20/21,2021-04-06,east-fife,partick-thistle,2,2,0,0,0,0,0,0,,,0,0,0,,
9424883,56,20/21,2021-04-06,forfar-athletic,peterhead,1,1,0,0,0,0,0,0,,,0,0,0,,
9424887,57,20/21,2021-04-06,elgin-city,stranraer,2,1,0,0,0,0,0,0,,,0,0,0,,
9424888,57,20/21,2021-04-06,edinburgh-city-fc,annan-athletic,1,1,0,0,0,0,0,0,,,0,0,0,,
