match_id,lambda_mkt_h,lambda_mkt_a,sse,n_targets,optim_converged,accepted,reason
12476642,1.8274950170379742,0.7229149112458192,7.794686010311762e-5,9,true,true,
12476643,1.6239450015417722,0.9339586499121248,0.0008570773820021863,13,true,true,
12476644,1.6110017652684088,0.9912927753346092,0.00045295554480456746,7,true,true,
12476645,1.3160661338500204,1.794893944527999,4.485216638120088e-5,9,true,true,
12476646,1.7257647774801497,1.0387548193937937,0.0005682943253443412,5,true,true,
12476647,1.786192535091158,1.241387653244934,0.0014873362846914702,11,true,true,
12476648,1.43490572782698,1.2028814881344958,0.0008317251555024261,7,true,true,
12476649,1.1004840473240953,1.5174814409496564,0.0010391904865096047,7,true,true,
12476650,1.7111066731432738,1.1480117093819837,0.000196902969252587,9,true,true,
12476651,1.459503601429005,0.9907998948640431,0.00032481550281751045,9,true,true,
12476652,1.1368058860003423,1.0718985283614717,3.300813120131887e-10,3,true,true,
12476653,1.087993710980309,1.6100776211881982,3.3185135695362693e-6,5,true,true,
12476654,1.5839942714406476,1.1707132441131247,0.0021429589523975236,7,true,true,
12476655,1.3060925590455643,1.322423784222896,0.0006026728382164975,9,true,true,
12476656,1.8991581812037444,1.1324848588612022,0.0011752693902383397,13,true,true,
12476657,1.7297660558017196,0.9813097199273423,0.001120194769088564,11,true,true,
12476658,1.657710572072294,1.0445027595473113,0.0005725611951111069,9,true,true,
12476659,1.0432932223000901,1.645313722323701,0.00034149451820552094,11,true,true,
12476660,1.818801470434522,1.0643147965444493,0.0002530497068600907,7,true,true,
12476661,1.12345449486849,1.5079464191921481,0.0011113657644592871,13,true,true,
12476662,1.1404378989591324,1.7458087022516464,0.007191356584862943,13,true,false,residual SSE 7.191e-03 exceeds 5.000e-03
12476663,1.571598304708005,0.9192260486621914,0.0008297242890631373,5,true,true,
12476664,1.5680619362664967,1.1410147877905934,0.000855382714729303,13,true,true,
12476665,2.3588064476409523,0.737283398937145,2.8118661188139525e-5,7,true,true,
12476666,1.9796228431853828,0.8442614137321627,9.70900199403251e-5,5,true,true,
12476667,1.6447123885879797,1.0933779284679057,0.00031847993234205245,7,true,true,
12476668,1.4082926983700481,1.0231484982349333,0.0007667711170869106,7,true,true,
12476669,1.6360392814394167,0.9882277854185089,0.002974392594810272,11,true,true,
12476670,1.624697632374762,0.824087843232134,0.000917184388257968,7,true,true,
12476671,1.977820141332709,0.9703624610162475,0.0004996962886942616,13,true,true,
12476672,1.2603581089499136,1.642271590705947,0.000676557270901299,9,true,true,
