environment,variant,model,likelihood,pair,bet_set,owner,n_bets,n_wins,win_rate_pct,cap_weighted_win_rate_pct,roi_pct,stake_sum,pnl_sum,stake_mean,odds_mean,edge_mean_pp,edge_win_pp,edge_loss_pp,capture_ratio
close,close_std_t007,m10_lineup_grw_negbin,NegBin,m10_lineup_grw_negbin cal[close_std_t007] vs raw vs raw,shared,m10_lineup_grw_negbin cal[close_std_t007] vs raw,1287,446,34.654234654234656,34.25228503210033,10.578130323836774,17.61964244940102,1.863828740891706,0.013690475873660466,3.6064954251117434,4.255929577438012,4.048128300210409,4.366130968215077,0.9271660263240635
close,close_std_t007,m10_lineup_grw_negbin,NegBin,m10_lineup_grw_negbin cal[close_std_t007] vs raw vs raw,shared,raw,1287,446,34.654234654234656,33.98626835651773,11.014201020218696,18.280631612416478,2.0134655135571973,0.01420406496691257,3.6064954251117434,4.9338208699553565,4.654057200796377,5.082185431720999,0.9157590299140966
close,close_std_t007,m10_lineup_grw_negbin,NegBin,m10_lineup_grw_negbin cal[close_std_t007] vs raw vs raw,exclusive,m10_lineup_grw_negbin cal[close_std_t007] vs raw,10,4,40.0,33.89282981958904,-29.360066812089332,0.010049079694996216,-0.0029504165124509918,0.0010049079694996216,2.120813848589464,-0.28255770238111655,-2.2342371294712198,1.0185619156789525,-2.193521174392156
close,close_std_t007,m10_lineup_grw_negbin,NegBin,m10_lineup_grw_negbin cal[close_std_t007] vs raw vs raw,exclusive,raw,14,5,35.714285714285715,60.804157310799056,20.700565461887333,0.01524396334372599,0.0031555866109541078,0.0010888545245518564,3.1498954836182103,-0.9110759076240956,1.7985181651708149,-2.4164059480657127,NaN
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,m12_joint_hybrid_synergy_negbin cal[close_std] vs raw vs raw,shared,m12_joint_hybrid_synergy_negbin cal[close_std] vs raw,1231,420,34.11860276198213,35.41994215317113,10.251134678896692,16.223150845754155,1.6630570423588262,0.013178839029857153,3.5712308306943132,4.082235479743194,4.102716489473454,4.071628791596823,1.0076351994417545
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,m12_joint_hybrid_synergy_negbin cal[close_std] vs raw vs raw,shared,raw,1231,420,34.11860276198213,35.40111945268269,10.505160051315663,16.969412561912314,1.7826639493969543,0.013785063007239898,3.5712308306943132,4.42202600813869,4.435100297033008,4.4152551063685115,1.004494687212042
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,m12_joint_hybrid_synergy_negbin cal[close_std] vs raw vs raw,exclusive,m12_joint_hybrid_synergy_negbin cal[close_std] vs raw,12,7,58.333333333333336,63.74636260112281,55.17911590940324,0.006061053819047795,0.0033444359121436945,0.0005050878182539829,2.7532579253580085,-2.0374741507903376,-2.3901234284685278,-1.543765162040872,NaN
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,m12_joint_hybrid_synergy_negbin cal[close_std] vs raw vs raw,exclusive,raw,13,5,38.46153846153847,39.39474135152911,-4.972136669430188,0.004757836683145407,-0.00023656614239427374,0.0003659874371650313,3.3297068573523942,-0.5537429790242817,0.6716732642442169,-1.3196281310670934,NaN
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,m12_joint_hybrid_synergy_negbin cal[close_std_t007] vs raw vs raw,shared,m12_joint_hybrid_synergy_negbin cal[close_std_t007] vs raw,1232,420,34.090909090909086,35.48118867388103,9.984296489274007,15.995458261601708,1.5970339776563884,0.012983326511040347,3.573142753105615,3.91096282998283,3.961264936154986,3.8849444992041295,1.0196451807655145
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,m12_joint_hybrid_synergy_negbin cal[close_std_t007] vs raw vs raw,shared,raw,1232,420,34.090909090909086,35.35518537726951,10.502160165739648,16.9543021209126,1.7805679637216354,0.013761608864377111,3.573142753105615,4.406904048700149,4.424421309168974,4.397843396733517,1.0060433967374094
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,m12_joint_hybrid_synergy_negbin cal[close_std_t007] vs raw vs raw,exclusive,m12_joint_hybrid_synergy_negbin cal[close_std_t007] vs raw,12,7,58.333333333333336,34.128523274983046,-16.98048129787089,0.0111330162885731,-0.0018904397487700753,0.0009277513573810917,2.6262277512723107,-0.9866578058556815,-1.5513869705387806,-0.19603697529934294,NaN
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,m12_joint_hybrid_synergy_negbin cal[close_std_t007] vs raw vs raw,exclusive,raw,12,5,41.66666666666667,75.55463480530152,9.35873538011229,0.019868277682860893,0.0018594195329248568,0.0016556898069050743,3.113289158680209,0.5841307744022667,1.5687082448232514,-0.11913884732700813,NaN
close,close_std,m00_poisson,Poisson,m00_poisson cal[close_std] vs raw vs raw,shared,m00_poisson cal[close_std] vs raw,1289,448,34.755624515128005,36.13316833414687,11.615728253055849,17.861883230030163,2.0747878168784584,0.013857163095446209,3.558067859622067,4.379529497764982,4.488195091067642,4.321643426659642,1.0385389649179673
close,close_std,m00_poisson,Poisson,m00_poisson cal[close_std] vs raw vs raw,shared,raw,1289,448,34.755624515128005,36.20930537743866,12.309462690988097,18.38113801889684,2.2626193266151353,0.014259998463069698,3.558067859622067,4.8007155259919925,4.9205380388386875,4.736886173131921,1.0387705887357939
close,close_std,m00_poisson,Poisson,m00_poisson cal[close_std] vs raw vs raw,exclusive,m00_poisson cal[close_std] vs raw,3,3,100.0,100.0,150.74594480406356,0.0011491821304608365,0.0017323454600826544,0.00038306071015361214,2.5822042091297153,-1.951443443103427,-1.951443443103427,NaN,NaN
