environment,variant,model,likelihood,selection_family,n_bets,win_rate_pct,roi_pct,stake_sum,pnl_sum,edge_mean_pp,p_model_mean,p_market_mean,capture_ratio
close,close_std_t007,m10_lineup_grw_negbin,NegBin,O/U 2.5_under_25,243,48.971193415637856,7.2614689258562635,3.138116937239118,0.22787338625465087,4.188638285050118,0.49963861480887595,0.45775223195837494,0.9522258498101916
close,raw,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_away,421,27.315914489311165,9.295844935020224,5.958539845023876,0.5538966243848139,5.771782314914658,0.32923187505584667,0.2715140519067003,0.833133548201294
close,raw,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_draw,260,23.846153846153847,1.4841474179011305,1.6288140344452182,0.024174001434629937,0.6977168292223612,0.24990808124224814,0.24293091295002467,1.1975876134460273
close,raw,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_home,308,37.33766233766234,16.86099943382187,5.6848377883185055,0.9585204673020749,5.172757246181379,0.3949510983448691,0.3432235258830557,0.9350647560499513
close,raw,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,O/U 1.5_over_15,45,71.11111111111111,0.6801242192411682,0.5095423177398294,0.003465520710231367,3.148964116708212,0.7849247793994333,0.753435138232351,1.429816919268122
close,raw,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,O/U 2.5_under_25,210,48.095238095238095,7.592031228270706,3.1924364130680343,0.24237076942281036,5.1908381430418675,0.5109896573794739,0.4590812759490551,1.1268506425627547
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_away,426,27.464788732394368,8.457296586001576,5.724446545382653,0.4841334222501323,5.273424647595774,0.32525905190772325,0.2725248054317656,0.829734782454538
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_draw,249,23.694779116465863,1.8255581287542213,1.490764964134833,0.027214780983383396,0.6494287621495437,0.2481033767509557,0.24160908912946044,1.1640909579365397
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_home,314,37.898089171974526,16.939476904451322,5.455765877324713,0.9241782007503557,4.6655659422836235,0.39059619906142634,0.3439405396385903,0.8997182120257311
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,O/U 1.5_over_15,44,70.45454545454545,-0.45043411599033223,0.47406709765988136,-0.0021353599405453116,2.8265637664589125,0.781130058293067,0.752864420628478,1.462499662796184
close,close_std,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,O/U 2.5_under_25,210,48.095238095238095,7.5550514245437,3.084167415071124,0.2330104342276436,4.777328630962401,0.5066868278443543,0.4589135415347303,1.1181464641479657
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_away,426,27.699530516431924,8.750038519775636,5.667125149014283,0.4958756335026422,5.1253875290836195,0.3239209465368519,0.27266707124601586,0.8401313260890321
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_draw,251,23.50597609561753,0.07312776008959798,1.4363838843623469,0.0010503953609221454,0.5028454780925519,0.24691357989442525,0.24188512511349985,1.2739109949563305
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,1X2_home,313,37.69968051118211,16.738495912073727,5.418301246137418,0.9069421325885515,4.582030062740995,0.3897512660395343,0.3439309654121242,0.9229360099792683
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,O/U 1.5_over_15,43,72.09302325581395,-1.0586637731041653,0.4682207076545984,-0.0049568830101111945,2.7385061426368353,0.7798604561588417,0.7524753947324736,1.470842593395525
