environment,variant,calibrator,law,role,model,likelihood,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,capture_ratio,cap_weighted_win_rate_pct,run_id
close,raw,none,none,ladder,m10_lineup_grw_negbin,NegBin,632,100,1301,370.27703921162515,145.3607584401132,0.015481517801925852,-0.002969339390898651,0.03416651949131635,11.022271614264412,0.96625,1.243168745697241,8.203084516577421,-45.13875706916599,34.66564181398924,4.870924209781558,0.18295875575760198,0.9239645578650063,34.0086127867956,f7fd8385-fa15-4f6a-ae89-e23447907a80
close,raw,none,none,control,m12_poisson,Joint Gamma-Poisson,632,100,1253,351.8953737016195,139.75408626806916,0.01508280492938411,-0.0019215945073487815,0.03240608056159465,11.36490582654638,0.97475,1.3093331749866932,6.6890506189855365,-52.60767091563557,34.397446129289705,4.286775389287696,0.1682301029799601,1.0432274804517943,36.311063373890065,3a9a4c7e-378b-45d0-a2d2-c8b69b46786b
close,raw,none,none,control,m10_poisson,Poisson,632,100,1299,348.81554473927656,138.80538847730136,0.015014418038489099,-0.00318105155913835,0.033519544769547674,10.749162824569856,0.965,1.2137447134964798,7.265846192307941,-48.00755968500318,34.94996150885296,4.883324045575303,0.1826050060179383,0.9566491472243781,34.372105229857446,b13c8fb9-ce34-4210-aa3f-9d2ed493c286
close,raw,none,none,ladder,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,632,100,1244,297.5198205481109,122.57961782575246,0.013800746098772925,-0.003397646535955277,0.03140971174150608,10.5008217862715,0.96525,1.1961570857269368,5.922936698591873,-50.2318082546524,34.163987138263664,4.370028422259977,0.16974170398595467,1.0072462167325804,35.4022388594238,c3d2aede-ddd5-4590-9c75-5937de4b1bbc
t25,raw,none,none,control,m12_poisson,Joint Gamma-Poisson,611,99,1118,754.0503122367767,246.76768775413387,0.021664847673649908,0.004357049966347341,0.03956295909937445,16.123949520151385,0.99325,1.8629988070980117,19.091915282579723,-39.495791861427556,34.61538461538461,4.4073140808682,0.16044493382703273,1.1220178855154472,38.43342206824133,3a9a4c7e-378b-45d0-a2d2-c8b69b46786b
t25,raw,none,none,ladder,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,611,99,1119,684.1302509577802,230.01388407436374,0.020802070272615443,0.003248701894451106,0.03811055398569398,15.649268464660208,0.99425,1.7404449792081487,17.32737444251681,-39.482626362543705,34.495084897229674,4.426658477411133,0.16105899793945908,1.0761842651631652,37.411574523752634,c3d2aede-ddd5-4590-9c75-5937de4b1bbc
t25,raw,none,none,control,m05_poisson,Joint Gamma-Poisson,611,99,1124,531.7811340934728,191.164248473237,0.018619927690571594,0.002292899619945693,0.0353788047882602,14.152408726635706,0.98875,1.6584024205331789,12.705126381948082,-41.85563512764795,35.40925266903915,4.149015432039701,0.15876725698958746,1.1104673183674394,39.20326522421854,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
t25,raw,none,none,ladder,m05_wealth_grw_negbin,Joint Gamma-NegBin,611,99,1122,514.3767459817102,186.48668602259914,0.0183377590585055,0.000698734723370978,0.03638381896737509,14.03651314327419,0.988,1.5810634241509198,12.258480510552298,-41.96088948699037,35.47237076648842,4.2097334781168065,0.15975652740030077,1.0658020985671133,38.243659801219245,019d41d4-9e0e-41eb-bbc1-8984263f0f14
t25,raw,none,none,ladder,m10_lineup_grw_negbin,NegBin,611,99,1153,426.1612439510142,161.86487056307448,0.01677209623443376,-0.0034980336496543236,0.03771933056023609,12.53619498472973,0.976,1.2600684349509066,9.263935223072385,-46.002183056033694,34.95229835212489,4.9611936555235285,0.17631625671760137,0.9441106260696661,34.57902487946258,f7fd8385-fa15-4f6a-ae89-e23447907a80
t25,raw,none,none,control,m00_poisson,Poisson,611,99,1155,424.14842595588095,161.28362165687457,0.016733380948127683,-0.0029503466019515753,0.03670003450081345,12.53435221659115,0.9785,1.270584464834453,9.007534856804389,-47.08818036218585,34.80519480519481,4.74533224693373,0.1754916296910977,1.0224622048522156,36.73125980547399,158d2a80-7ea3-4d6c-b3ab-be62bcf1bc11
