model,fold,mode,kappa_mean,kappa_q05,kappa_q95,nu_mean,sigma_mean,sigma_q05,sigma_q95,p_sigma_gt_005
m04_funnel_hierarchical_kappa,18,hierarchical,1.0914675865457006,1.0207161774707616,1.1685402213814644,3.52328139028595,0.06465518333590516,0.006654858536712754,0.14738320969767765,0.56
m04_funnel_hierarchical_kappa,19,hierarchical,1.1094539853352285,1.0369160065608383,1.186701762367275,3.4554937863019797,0.06661733812681564,0.006335728894737771,0.1517066337157029,0.5625
m04_funnel_hierarchical_kappa,20,hierarchical,1.1171440131241737,1.0387934573447102,1.1904793489996621,3.376946903246636,0.0641127198754998,0.007092044853520935,0.1436863596940868,0.5675
m04_funnel_hierarchical_kappa,21,hierarchical,1.1051089388865576,1.0281258633135377,1.1837792547433799,3.3997964973665837,0.05907382467234907,0.004538117189433244,0.14602259652815294,0.5116666666666667
m04_funnel_hierarchical_kappa,22,hierarchical,1.1082189086699152,1.0247569994336028,1.1955682242869883,3.278280345672794,0.056324094043911685,0.004490681534142893,0.1372991986647344,0.48
m04_funnel_hierarchical_kappa,23,hierarchical,1.113307396714879,1.0298755932096109,1.1956222338199676,3.209493739778383,0.052311825715375584,0.0040317280642691595,0.12142414623979259,0.4483333333333333
m04_funnel_hierarchical_kappa,24,hierarchical,1.1036031684095888,1.0191545448776773,1.1869850990153967,3.18225663312316,0.0552481628629085,0.004684804198029255,0.1350252065210498,0.46416666666666667
m04_funnel_hierarchical_kappa,25,hierarchical,1.1093100976681474,1.0257553205705958,1.1949975597381992,3.2528825728137765,0.05928130936590108,0.005102425016625395,0.14044391687948046,0.5041666666666667
m04_funnel_hierarchical_kappa,26,hierarchical,1.112622656863557,1.030332924742682,1.194823439600357,3.3322843426584217,0.05818356649072038,0.004750178372696335,0.136965633408781,0.49083333333333334
m04_funnel_hierarchical_kappa,27,hierarchical,1.111981673063182,1.0275684658852946,1.1924036939225353,3.418729786238018,0.06057961666590065,0.005086873176335752,0.13944251692056278,0.535
m04_funnel_hierarchical_kappa,28,hierarchical,1.1030285878123425,1.0242766116585333,1.1859351065655754,3.4910692739153135,0.060059193757635944,0.004425297599108224,0.14293425915188776,0.5183333333333333
m04_funnel_hierarchical_kappa,29,hierarchical,1.0995598842822083,1.0234989125282565,1.1823136354757864,3.4817216829392432,0.05506684079321745,0.004894811276802489,0.13086762814901468,0.49916666666666665
m04_funnel_hierarchical_kappa,30,hierarchical,1.0877093080537685,1.0093541031981363,1.1700647387007757,3.4469610861272684,0.04712088823028584,0.0034649462837997606,0.11795342992306082,0.3958333333333333
m04_funnel_hierarchical_kappa,31,hierarchical,1.0954954654603364,1.014514136317486,1.177858411243172,3.513396980620597,0.045201023219035116,0.0036826929928831815,0.11061301706317885,0.37166666666666665
m04_funnel_hierarchical_kappa,32,hierarchical,1.1072214457185452,1.0315650182734974,1.1921366242484557,3.4793765326502344,0.03973248987286497,0.0036979915854975717,0.09901456039414616,0.32
m04_funnel_hierarchical_kappa,33,hierarchical,1.1145547323124019,1.040174553638599,1.1965739137057188,3.4771120384355556,0.03793206255828554,0.0026476938923863072,0.0925399528931483,0.27416666666666667
m04_funnel_hierarchical_kappa,34,hierarchical,1.1199492824266615,1.0426085592797634,1.2074048431009556,3.3756171657219145,0.04043918641215401,0.0030624325346713583,0.09791991741193143,0.32416666666666666
m04_funnel_hierarchical_kappa,35,hierarchical,1.1247532191957987,1.0415409253851917,1.2088247815770026,3.378254190265929,0.041356065543028286,0.003487989272439903,0.10117459461947952,0.32916666666666666
m04_funnel_hierarchical_kappa,36,hierarchical,1.1321087754600088,1.0525078722019319,1.2100651073510917,3.4790961613411886,0.04561918034751174,0.0034882179393734987,0.10895965269857286,0.3975
m04_funnel_hierarchical_kappa,37,hierarchical,1.1166087699906257,1.0436314107767692,1.1967766564901134,3.5908561093544216,0.047909795206489324,0.003999504245980671,0.11545256738824575,0.4083333333333333
m04_funnel_hierarchical_kappa,38,hierarchical,1.1220692920899178,1.0446230088977597,1.2034771084021023,3.6990394813075014,0.048987281993167014,0.00364659564520524,0.1158595144524994,0.42833333333333334
m04_funnel_hierarchical_kappa,39,hierarchical,1.1136824723124947,1.0401323743357311,1.1908120619020224,3.762723143486933,0.046474580214553876,0.0038353845307407992,0.11246431439315574,0.3933333333333333
m04_funnel_hierarchical_kappa,40,hierarchical,1.1131161763289055,1.040550546201487,1.185910058680115,3.7573415365488496,0.047141717238364654,0.0036553989428472385,0.11325305885797365,0.40166666666666667
