environment,policy,pair,a_return_pct,b_return_pct,a_roi_pct,b_roi_pct,n_slates,delta_log_growth_per_slate,lo,hi,p_better,delta_total_log_growth
close,+BTTS_no,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,537.0445062643656,347.57281855476555,15.12439652674802,11.048144134186986,100,0.0035300027417399203,-0.007163227374594919,0.014731268600698535,0.7387,0.35300027417399205
close,+all_unders,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,222.68147175738787,487.7788341990486,9.48161241361646,11.700731443432744,100,-0.00599685063727108,-0.017727085027102494,0.006130570252447757,0.1691,-0.5996850637271081
close,+all_unders,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,222.68147175738787,235.88956911331186,9.48161241361646,9.80990497994974,100,-0.00040116761486853664,-0.005038218924035707,0.004245817366601119,0.4273,-0.04011676148685366
close,+all_unders,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,235.88956911331186,487.7788341990486,9.80990497994974,11.700731443432744,100,-0.005595683022402543,-0.0171308861384625,0.006148838783963401,0.1762,-0.5595683022402543
close,+all_fringe,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,175.23799122678855,299.0036879497816,7.435335211437263,8.873952097520645,100,-0.0037133451378187853,-0.015790664924894126,0.008829822942848365,0.2798,-0.37133451378187854
close,+all_fringe,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,175.23799122678855,183.8773227371977,7.435335211437263,7.83602609787074,100,-0.0003090603659851895,-0.004636746397549036,0.004022463577273244,0.4401,-0.030906036598518948
close,+all_fringe,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,183.8773227371977,299.0036879497816,7.83602609787074,8.873952097520645,100,-0.003404284771833594,-0.01595216811865111,0.009594797519802793,0.3058,-0.3404284771833594
t25,P0 Option B,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,457.6981207541064,531.7811340934728,16.276777187906166,14.152408726635706,99,-0.0012598506424309406,-0.012725081851278726,0.010603628495906918,0.417,-0.1247252136006631
t25,P0 Option B,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,457.6981207541064,381.22630248195276,16.276777187906166,15.143609857701351,99,0.001489698696569419,-0.0028385335467614402,0.005526983744879414,0.7521,0.14748017096037247
t25,P0 Option B,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,381.22630248195276,531.7811340934728,15.143609857701351,14.152408726635706,99,-0.0027495493390003603,-0.014345806565788138,0.009466441012222705,0.3298,-0.27220538456103566
t25,+U0.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,395.2586946740449,450.8763985191684,14.898263275903053,13.203065597497721,99,-0.0010750527305685277,-0.012322261714898516,0.010599267278202294,0.4282,-0.10643022032628424
t25,+U0.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,395.2586946740449,290.8982130912995,14.898263275903053,13.04603328025171,99,0.00239023272763163,-0.0024354928568014705,0.006828607459853729,0.8399,0.23663304003553134
t25,+U0.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,290.8982130912995,450.8763985191684,13.04603328025171,13.203065597497721,99,-0.0034652854582001564,-0.015349244405536004,0.00884308921372032,0.2949,-0.3430632603618155
t25,+U1.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,374.9732373785888,519.7632374296378,14.063775318032649,13.762851903208427,99,-0.002687667372790868,-0.013786186410364607,0.008552687512268125,0.3199,-0.26607906990629593
t25,+U1.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,374.9732373785888,368.0954248663813,14.063775318032649,14.491755943524192,99,0.00014733621885185135,-0.004954957124779417,0.0051550008648309515,0.5139,0.014586285666333285
t25,+U1.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,368.0954248663813,519.7632374296378,14.491755943524192,13.762851903208427,99,-0.0028350035916427188,-0.014397428506678212,0.009156830309784392,0.3217,-0.28066535557262917
t25,+U3.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,452.7585169601668,426.58639941295144,15.917847290044216,12.411376359387464,99,0.0004899576605990638,-0.011150013226424331,0.012823540342575233,0.5318,0.04850580839930732
t25,+U3.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,452.7585169601668,356.5791400448611,15.917847290044216,14.402980071483315,99,0.0019309008112168256,-0.0023354444490333295,0.005989948460601511,0.814,0.19115918031046575
t25,+U3.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,356.5791400448611,426.58639941295144,14.402980071483315,12.411376359387464,99,-0.0014409431506177625,-0.013331650247792579,0.010986582949707594,0.4103,-0.14265337191115848
t25,+U4.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,468.3611757927479,523.4645102768314,16.324568447878043,13.665251212390766,99,-0.0009346944830343344,-0.012397610298901001,0.011020902699849457,0.4375,-0.09253475382039911
t25,+U4.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,468.3611757927479,384.3116837911247,16.324568447878043,15.12601354636173,99,0.0016164486392455295,-0.002741431146735081,0.0056939124579306975,0.7706,0.16002841528530742
t25,+U4.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,384.3116837911247,523.4645102768314,15.12601354636173,13.665251212390766,99,-0.002551143122279864,-0.014246018990034054,0.009616332182857968,0.3401,-0.25256316910570653
t25,+O2.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,486.34536091224163,562.1584356185008,16.160507787817753,13.62582149671682,99,-0.0012282412824450913,-0.013038026885068447,0.010915666084628317,0.4206,-0.12159588696206404
t25,+O2.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,486.34536091224163,390.701665217481,16.160507787817753,14.48316452080262,99,0.0017987134588288835,-0.0025845024693524083,0.0059923156591101204,0.7871,0.17807263242405946
t25,+O2.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,390.701665217481,562.1584356185008,14.48316452080262,13.62582149671682,99,-0.003026954741273974,-0.014651390556685037,0.009125396417055362,0.3125,-0.29966851938612343
t25,+O3.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,481.3789858570944,420.7725092251402,15.176957255068835,12.407572068173321,99,0.0011120155515129807,-0.010461854652478477,0.01308974061774517,0.5708,0.11008953959978508
