environment,model,policy,n_bets,total_return_pct,roi_pct,sharpe_ann,max_drawdown_pct,win_rate_pct,n_capped,mean_exposure,delta_return_pp,delta_sharpe,core_n_bets,core_roi_pct,core_stake_vs_p0,delta_core_roi_pp,added_n_bets,added_win_rate_pct,added_roi_pct,added_stake_share_pct,added_edge_pp
close,m05_joint_grw_smile_supremacy_w040,+O3.5,1414,488.2339061291074,14.069841024648426,1.5412103851642895,-38.920033879675884,32.10749646393211,19,0.1547211726730448,-48.41841896388479,-0.07580408278909312,1253,15.334543210401504,0.9935562383195864,-0.13982952134723625,161,30.434782608695656,-4.376139021034505,6.416328825676353,2.493910667171144
close,m05_joint_grw_smile_supremacy_w040,+O4.5,1346,529.5586069416289,14.91105732709048,1.566753033867196,-40.06256359804383,30.75780089153046,23,0.1517653144452658,-7.093718151363305,-0.05026143408618666,1253,15.284673448428814,0.9945004339577019,-0.1896992833199267,93,9.67741935483871,6.987586181974806,4.502979290683207,2.8696960845701054
close,m05_joint_grw_smile_supremacy_w040,+BTTS_yes,1319,525.2732148721534,15.054025541133635,1.59009877604673,-38.00080304552406,33.206974981046244,20,0.14897182438943887,-11.379110220838811,-0.02691569190665266,1253,15.585855924215483,0.9907944514921085,0.11148319246674276,66,50.0,-1.7106859574584965,3.074778685358618,1.5569144002545867
close,m05_joint_grw_smile_supremacy_w040,+BTTS_no,1317,537.0445062643656,15.12439652674802,1.6230963274711743,-38.05628869970793,32.64996203492787,18,0.14898868960612102,0.3921811713734087,0.00608185951779161,1253,15.539663750606282,0.9952995969277991,0.06529101885754152,64,39.0625,-0.1599393631783051,2.645081030702318,2.4935518780573926
close,m05_joint_grw_smile_supremacy_w040,+all_unders,1580,235.88956911331186,9.80990497994974,1.0948095988942776,-31.35096714400682,29.683544303797472,29,0.16097816101009854,-300.7627559796804,-0.522204869059105,1253,15.023267365241871,0.9755895129413297,-0.4511053665068694,327,19.571865443425075,-29.610497858343926,11.68031054332211,3.1222949075526847
close,m05_joint_grw_smile_supremacy_w040,+all_fringe,2060,183.8773227371977,7.83602609787074,0.918110821221781,-32.45802073967499,30.679611650485437,49,0.18207945620623975,-352.7750023557945,-0.6989036467316017,1253,14.129985826222399,0.914758237909311,-1.344386905526342,807,28.12887236679058,-9.36848780930907,26.784547056004083,2.762554719354459
close,m05_joint_grw_smile_spine_w040,P0 Option B,1232,469.353509772741,14.543256268120428,1.4618548772102955,-41.63016434004326,33.27922077922078,20,0.1494110528321869,0.0,0.0,1232,14.543256268120432,1.0,0.0,0,NaN,NaN,0.0,NaN
close,m05_joint_grw_smile_spine_w040,P0 ext book,1247,449.8734040059558,14.24220709388349,1.4416021501666056,-40.651924967530405,33.27987169206095,22,0.1496798611587443,0.0,0.0,1247,14.242207093883476,1.0,0.0,0,NaN,NaN,0.0,NaN
close,m05_joint_grw_smile_spine_w040,+U0.5,1392,287.7217033994597,11.331713608073853,1.1514953899044522,-36.38035780597645,30.17241379310345,24,0.15643285331396045,-162.1517006064961,-0.29010676026215343,1247,14.228275904781492,1.0053803785620479,-0.013931189101983321,145,3.4482758620689653,-61.95591577808585,3.8020516234722064,2.2032611316729134
close,m05_joint_grw_smile_spine_w040,+U1.5,1455,358.301984807392,12.048341973485682,1.3484454732965339,-35.13975946056172,31.615120274914087,28,0.15856263831265166,-91.57141919856383,-0.09315667687007179,1247,14.077797945719501,0.9538860796819729,-0.16440914816397445,208,21.634615384615387,-6.308252538580806,9.95512089895364,4.284508585632231
close,m05_joint_grw_smile_spine_w040,+U3.5,1276,467.91525873578036,14.374066257567877,1.476486969980366,-40.108018435054724,34.24764890282132,22,0.15030892545378238,18.041854729824536,0.03488481981376035,1247,14.295229861639188,0.9942764187321748,0.0530227677557118,29,75.86206896551724,22.27077168942575,0.9884769916699087,3.0974592362487288
close,m05_joint_grw_smile_spine_w040,+U4.5,1247,449.8734040059558,14.24220709388349,1.4416021501666056,-40.651924967530405,33.27987169206095,22,0.1496798611587443,0.0,0.0,1247,14.242207093883476,1.0,0.0,0,NaN,NaN,0.0,NaN
close,m05_joint_grw_smile_spine_w040,+O2.5,1296,473.2452295890498,14.268108459870744,1.4721489735671318,-40.651924967530405,33.95061728395062,22,0.15253122199728744,23.371825583093994,0.03054682340052617,1247,14.215735510844755,0.9953292491501935,-0.026471583038720325,49,51.02040816326531,16.46571692622791,2.3277058498307848,2.3197575801053536
close,m05_joint_grw_smile_spine_w040,+O3.5,1453,402.1444340828654,12.405717078938185,1.3562250108212428,-40.03738814872869,32.89745354439091,34,0.16471959678663933,-47.7289699230904,-0.08537713934536284,1247,13.94260019418659,0.9930589515033781,-0.2996068996968866,206,30.582524271844658,-1.8021569534050452,9.761237349307093,2.144092481670167
close,m05_joint_grw_smile_spine_w040,+O4.5,1342,416.2426080243737,13.273234077545974,1.3526045831043183,-42.556547520760546,31.594634873323397,27,0.1573769556176542,-33.63079598158214,-0.08899756706228734,1247,13.913216150473623,0.9931521372836272,-0.3289909434098526,95,9.473684210526317,2.3656940208196184,5.542159311253243,3.6992182460506418
close,m05_joint_grw_smile_spine_w040,+BTTS_yes,1299,458.92738607066315,14.138985853198747,1.4614598384948596,-39.71330464414831,34.257120862201695,24,0.1517504190176239,9.053982064707327,0.019857688328253964,1247,14.256775871208488,0.9882898623154573,0.01456877732501205,52,57.692307692307686,9.581614097464474,2.519485393452284,-0.11522553097475519
close,m05_joint_grw_smile_spine_w040,+BTTS_no,1312,445.8610774166491,13.848827753249726,1.4333233267888408,-40.16911570893668,33.61280487804878,24,0.1534867257256462,-4.012326589306724,-0.008278823377764866,1247,14.32536298480825,0.9924336326067744,0.0831558909247736,65,40.0,-0.482482313394831,3.218126756202359,3.519206994264711
close,m05_joint_grw_smile_spine_w040,+all_unders,1629,222.68147175738787,9.48161241361646,1.0339495221442245,-37.809334592444834,29.895641497851443,31,0.16416179124876323,-227.19193224856795,-0.4076526280223811,1247,14.003033292237225,0.9460452041997837,-0.2391738016462508,382,18.848167539267017,-18.900974874825266,13.741246524327059,3.4043899679457845
close,m05_joint_grw_smile_spine_w040,+all_fringe,2096,175.23799122678855,7.435335211437263,0.8845074672548475,-40.96871456548483,30.53435114503817,49,0.18846968236508366,-274.63541277916727,-0.5570946829117581,1247,12.73880252276521,0.8922103027658389,-1.5034045711182653,849,26.501766784452297,-5.45992698477241,29.141964603250702,2.862203298935026
