environment,policy,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
t25,+O2.5,m05_joint_grw_smile_supremacy_w040,family,O/U 2.5_over_25,115,52.17391304347826,9.248133587318538,6.445933427619607,2.472743606750626,2.067376176768053,1.2291670711843754
t25,+O3.5,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_over_35,94,27.659574468085108,0.39632871551685345,3.782826627652749,2.0507236664649353,3.3023056215157363,1.261342807627057
t25,+O4.5,m05_joint_grw_smile_supremacy_w040,family,O/U 4.5_over_45,43,2.3255813953488373,-41.277802020599744,1.7598053831732556,2.0884980029723934,6.6676943883842945,3.7530914997026
t25,+BTTS_yes,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_yes,54,50.0,-45.2790104249306,3.6462293972112123,2.0911888149015905,1.8933863726511189,0.5598518809852363
t25,+BTTS_no,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_no,81,45.67901234567901,18.08903295110662,4.160315125590544,2.6725253731252785,2.3770623812055405,1.0984937804699717
t25,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 0.5_under_05,75,6.666666666666667,-41.31292863649897,3.286711100610411,3.410251180416434,15.909304992811832,0.6740584154878346
t25,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_under_15,99,14.14141414141414,-8.211855417792258,3.0021962466133356,2.6527361244379835,4.647874264318576,1.5366810748416881
t25,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_under_35,42,57.14285714285714,-13.109185328560796,2.258249977177302,3.5629915178631713,1.5823886749344642,0.8495340384490389
t25,+all_unders,m05_joint_grw_smile_supremacy_w040,family,O/U 4.5_under_45,2,100.0,37.09668240293322,0.08125372025955052,9.216872299692463,1.4803731343283584,NaN
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_no,81,45.67901234567901,14.828140190924177,3.441929587930412,2.6725253731252785,2.3770623812055405,1.0984937804699717
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,BTTS_btts_yes,54,50.0,-44.606942624259986,2.921657507176459,2.0911888149015905,1.8933863726511189,0.5598518809852363
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 0.5_under_05,75,6.666666666666667,-38.211824962151944,2.803084861019964,3.410251180416434,15.909304992811832,0.6740584154878346
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 1.5_under_15,99,14.14141414141414,-8.247533737350402,2.4999809613395296,2.6527361244379835,4.647874264318576,1.5366810748416881
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 2.5_over_25,115,52.17391304347826,9.02696331043813,5.404333028509757,2.472743606750626,2.067376176768053,1.2291670711843754
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_over_35,94,27.659574468085108,4.219469682246811,3.099353291518878,2.0507236664649353,3.3023056215157363,1.261342807627057
