environment,model,policy,family,n_bets,mean_p_model,mean_p_market,realised_win_rate,model_minus_realised,roi_pct
close,m05_joint_grw_baseline,+all_fringe,1X2_home,307,0.39844850453201247,0.3488452071215207,0.3941368078175896,0.004311696714422886,19.551050713597366
close,m05_joint_grw_baseline,+all_fringe,BTTS_btts_no,69,0.4760638203092401,0.44085975058495747,0.42028985507246375,0.05577396523677636,-6.8180864857644465
close,m05_joint_grw_baseline,+all_fringe,BTTS_btts_yes,52,0.5770652690278979,0.5585160221976543,0.5576923076923077,0.01937296133559019,2.046372730752216
close,m05_joint_grw_baseline,+all_fringe,O/U 0.5_under_05,81,0.08436103898118441,0.06653147460166876,0.037037037037037035,0.047324001944147376,-65.5026681646132
close,m05_joint_grw_baseline,+all_fringe,O/U 1.5_over_15,63,0.7936240599222046,0.7585612546769733,0.7619047619047619,0.031719298017442776,2.137524029117441
close,m05_joint_grw_baseline,+all_fringe,O/U 1.5_under_15,105,0.26674230289819834,0.22130856808343877,0.23809523809523808,0.028647064802960254,32.751450765200985
close,m05_joint_grw_baseline,+all_fringe,O/U 2.5_over_25,104,0.5800375390064879,0.5211212589186485,0.5096153846153846,0.07042215439110333,1.4950124152199715
close,m05_joint_grw_baseline,+all_fringe,O/U 2.5_under_25,199,0.5179795620413431,0.46544161601782946,0.48743718592964824,0.030542376111694858,12.184884735761276
close,m05_joint_grw_baseline,+all_fringe,O/U 3.5_over_35,120,0.358642277506203,0.3034616467099989,0.36666666666666664,-0.008024389160463663,2.283274954175368
close,m05_joint_grw_baseline,+all_fringe,O/U 3.5_under_35,99,0.7286054731620858,0.6701091511886812,0.7474747474747475,-0.01886927431266172,2.746326670220712
close,m05_joint_grw_baseline,+all_fringe,O/U 4.5_over_45,54,0.18786744359494173,0.15129040177358785,0.09259259259259259,0.09527485100234914,-32.89363835458875
close,m05_joint_grw_baseline,+all_fringe,O/U 4.5_under_45,28,0.86072752511232,0.8157910077813699,0.9642857142857143,-0.10355818917339432,18.531385125156714
close,m05_joint_grw_smile_supremacy_w040,P0 Option B,1X2_away,326,0.30093787796360916,0.2515052156069426,0.2607361963190184,0.04020168164459076,23.571975714922704
close,m05_joint_grw_smile_supremacy_w040,P0 Option B,1X2_draw,470,0.2739758543317793,0.25384974593216814,0.26382978723404255,0.010146067097736744,5.783506614086706
close,m05_joint_grw_smile_supremacy_w040,P0 Option B,1X2_home,255,0.372657604718608,0.32472217648524265,0.3803921568627451,-0.007734552144137097,17.068817780202373
close,m05_joint_grw_smile_supremacy_w040,P0 Option B,O/U 1.5_over_15,42,0.7431015830195639,0.7390802605738935,0.6904761904761905,0.052625392543373395,-5.965431525323249
close,m05_joint_grw_smile_supremacy_w040,P0 Option B,O/U 2.5_under_25,157,0.4739308821313626,0.4372292781934557,0.4585987261146497,0.015332156016712895,17.386624554650222
close,m05_joint_grw_smile_supremacy_w040,+U0.5,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,22.94467075595786
close,m05_joint_grw_smile_supremacy_w040,+U0.5,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.277120729667893
close,m05_joint_grw_smile_supremacy_w040,+U0.5,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.614264220932643
close,m05_joint_grw_smile_supremacy_w040,+U0.5,O/U 0.5_under_05,149,0.09959268650344114,0.06799470520731084,0.03355704697986577,0.06603563952357536,-59.25850186522792
close,m05_joint_grw_smile_supremacy_w040,+U0.5,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-7.978789959320707
close,m05_joint_grw_smile_supremacy_w040,+U0.5,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,14.296174071377992
close,m05_joint_grw_smile_supremacy_w040,+U1.5,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,23.485107534103204
close,m05_joint_grw_smile_supremacy_w040,+U1.5,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.364653283036678
close,m05_joint_grw_smile_supremacy_w040,+U1.5,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.53250360069453
close,m05_joint_grw_smile_supremacy_w040,+U1.5,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-7.217980871384694
close,m05_joint_grw_smile_supremacy_w040,+U1.5,O/U 1.5_under_15,128,0.24194232129336848,0.2116238353576696,0.1953125,0.046629821293368484,-2.733477918045755
close,m05_joint_grw_smile_supremacy_w040,+U1.5,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,14.884081977879353
close,m05_joint_grw_smile_supremacy_w040,+U3.5,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,23.75875830652054
close,m05_joint_grw_smile_supremacy_w040,+U3.5,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.812341298601071
close,m05_joint_grw_smile_supremacy_w040,+U3.5,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.64328330934412
close,m05_joint_grw_smile_supremacy_w040,+U3.5,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-7.366517110967821
close,m05_joint_grw_smile_supremacy_w040,+U3.5,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,15.2442853438424
close,m05_joint_grw_smile_supremacy_w040,+U3.5,O/U 3.5_under_35,50,0.6634387166619478,0.6310179379658597,0.68,-0.01656128333805229,13.618497960086719
close,m05_joint_grw_smile_supremacy_w040,+U4.5,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,23.313261530475813
close,m05_joint_grw_smile_supremacy_w040,+U4.5,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.645192188954471
close,m05_joint_grw_smile_supremacy_w040,+U4.5,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.53196040720834
close,m05_joint_grw_smile_supremacy_w040,+U4.5,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-7.117029443848291
close,m05_joint_grw_smile_supremacy_w040,+U4.5,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,15.242791040038199
close,m05_joint_grw_smile_supremacy_w040,+O2.5,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,23.119674737437034
close,m05_joint_grw_smile_supremacy_w040,+O2.5,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.227204540883023
close,m05_joint_grw_smile_supremacy_w040,+O2.5,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.178945163882844
close,m05_joint_grw_smile_supremacy_w040,+O2.5,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-7.146661443228514
close,m05_joint_grw_smile_supremacy_w040,+O2.5,O/U 2.5_over_25,96,0.5103500164950795,0.48142853734328034,0.4895833333333333,0.02076668316174618,6.163694701993152
close,m05_joint_grw_smile_supremacy_w040,+O2.5,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,14.939333362489542
close,m05_joint_grw_smile_supremacy_w040,+O3.5,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,22.544108535859397
close,m05_joint_grw_smile_supremacy_w040,+O3.5,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.581000338280196
close,m05_joint_grw_smile_supremacy_w040,+O3.5,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.9200555019821
close,m05_joint_grw_smile_supremacy_w040,+O3.5,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-7.871359742327395
close,m05_joint_grw_smile_supremacy_w040,+O3.5,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,15.216186943346067
close,m05_joint_grw_smile_supremacy_w040,+O3.5,O/U 3.5_over_35,161,0.31765372816992393,0.29271462149821265,0.30434782608695654,0.013305902082967391,-4.376139021034499
close,m05_joint_grw_smile_supremacy_w040,+O4.5,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,23.15070352764882
