environment,question,pair,bet_set,owner,n_bets,win_rate_pct,roi_pct,edge_mean_pp,capture_ratio
t25,Q2 beyond L2,m05_joint_grw_supremacy_w040[t25_inv] − m05_joint_grw_baseline[t25_inv],exclusive,a,104,39.42307692307692,-5.0711218551156945,0.7894671575223426,0.7786979628667319
t25,Q2 beyond L2,m05_joint_grw_supremacy_w040[t25_inv] − m05_joint_grw_baseline[t25_inv],exclusive,b,110,26.36363636363636,2.8699013741402233,0.8099841273204453,2.15522589361877
close,close reference (r06),m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],shared,a,1074,35.567970204841714,13.099898528331721,4.220010622966456,1.0926851791520362
close,close reference (r06),m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],shared,b,1074,35.567970204841714,13.542174384104268,4.709696412207019,1.0638401821424375
close,close reference (r06),m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],exclusive,a,170,42.35294117647059,7.221762281421776,0.8187814198669868,1.5066275680906314
close,close reference (r06),m05_joint_grw_supremacy_w040[raw] − m05_joint_grw_baseline[raw],exclusive,b,173,32.947976878612714,-25.76520937006117,0.49557019056114676,1.1340028528315576
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_grid],shared,a,955,34.345549738219894,21.778749929959023,1.9952009430167204,0.9089660838291487
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_grid],shared,b,955,34.345549738219894,21.778749929959023,2.033197952071582,0.9550274624112822
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_grid],exclusive,a,0,NaN,NaN,NaN,NaN
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w020[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w020[t25_inv_grid],exclusive,b,0,NaN,NaN,NaN,NaN
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w040[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w040[t25_inv_grid],shared,a,947,35.26927138331573,22.100087971501154,1.8691291317412946,0.8872541475605473
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w040[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w040[t25_inv_grid],shared,b,947,35.26927138331573,22.100087971501154,1.9045498577003863,0.9325269421744571
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w040[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w040[t25_inv_grid],exclusive,a,0,NaN,NaN,NaN,NaN
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w040[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w040[t25_inv_grid],exclusive,b,0,NaN,NaN,NaN,NaN
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w070[t25_inv_grid],shared,a,940,36.06382978723404,20.36624487606052,1.7610085645996632,0.8669302965418161
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w070[t25_inv_grid],shared,b,940,36.06382978723404,20.36624487606052,1.801813582491961,0.9172792782146759
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w070[t25_inv_grid],exclusive,a,0,NaN,NaN,NaN,NaN
t25,within arm: pooltot − grid,m05_joint_grw_smile_supremacy_w070[t25_inv_pooltot] − m05_joint_grw_smile_supremacy_w070[t25_inv_grid],exclusive,b,0,NaN,NaN,NaN,NaN
