y,pressure,home,season,division,history_matches,pressure_z
1,0.4444444444444444,0,21/22,56,18,-2.924456832070763
0,1.0,1,21/22,57,16,-0.8564916550972045
0,0.5625,0,21/22,57,16,-2.4850142319638815
0,0.7647058823529411,1,21/22,56,17,-1.7323357300507116
0,1.25,1,21/22,56,16,0.0740926745408968
0,1.1764705882352942,0,21/22,56,17,-0.19960859888207402
0,1.4375,1,21/22,57,16,0.7720309217694727
0,1.5294117647058822,0,21/22,57,17,1.114157513548186
0,1.1176470588235294,1,21/22,56,17,-0.41856961762045086
0,1.375,0,21/22,56,16,0.5393848393599474
0,1.1764705882352942,1,21/22,56,17,-0.19960859888207402
0,1.8823529411764706,0,21/22,56,17,2.427923625978447
0,1.1176470588235294,1,21/22,57,17,-0.41856961762045086
0,1.125,0,21/22,57,16,-0.3911994902781538
0,0.5555555555555556,0,21/22,57,18,-2.510863796676051
0,1.0,1,21/22,57,16,-0.8564916550972045
0,2.0555555555555554,0,21/22,57,18,3.0726421811525557
0,1.8333333333333333,1,21/22,56,18,2.2454561103631328
0,1.1111111111111112,0,21/22,56,18,-0.4428986197024926
1,1.1176470588235294,1,21/22,57,17,-0.41856961762045086
0,1.3529411764705883,1,21/22,56,17,0.45727445733305644
0,0.8333333333333334,0,21/22,56,18,-1.476881208189272
0,1.0588235294117647,1,21/22,57,17,-0.6375306363588277
0,1.0555555555555556,0,21/22,57,18,-0.6496951373998485
0,0.5263157894736842,1,21/22,57,19,-2.619704069148344
0,1.411764705882353,0,21/22,57,17,0.6762354760714332
0,0.5263157894736842,1,21/22,56,19,-2.619704069148344
0,1.1764705882352942,0,21/22,56,17,-0.19960859888207402
0,1.2222222222222223,1,21/22,56,18,-0.02930558430778076
0,1.0555555555555556,0,21/22,56,18,-0.6496951373998485
0,1.5,1,21/22,57,18,1.004677004178998
0,0.9411764705882353,0,21/22,57,17,-1.0754526738355812
0,1.1666666666666667,0,21/22,56,18,-0.23610210200513668
0,1.9473684210526316,1,21/22,57,19,2.669933173005074
0,1.105263157894737,0,21/22,57,19,-0.4646666741969509
0,1.2105263157894737,1,21/22,56,19,-0.07284169329669818
0,0.8421052631578947,0,21/22,56,19,-1.4442291264475844
0,1.8421052631578947,1,21/22,56,19,2.2781081921048205
0,0.6,0,21/22,56,20,-2.3454265825181664
