y,pressure,home,season,division,history_matches,pressure_z
0,2.0,1,21/22,57,9,2.8658456634552008
0,1.3076923076923077,0,21/22,57,26,0.28884290445738176
0,1.0714285714285714,1,21/22,56,28,-0.590610418057747
0,1.2857142857142858,0,21/22,56,28,0.2070332930606259
0,1.0714285714285714,1,21/22,56,28,-0.590610418057747
0,1.2962962962962963,0,21/22,56,27,0.24642310595535993
0,1.1071428571428572,1,21/22,56,28,-0.45766979953801795
0,0.8620689655172413,0,21/22,56,29,-1.3699174921389157
0,1.2592592592592593,1,21/22,57,27,0.10855876082378958
0,0.75,0,21/22,57,24,-1.7870759847353057
0,1.6363636363636365,1,21/22,56,11,1.5122684567088718
0,1.3333333333333333,0,21/22,56,27,0.3842874510869303
1,1.25,1,21/22,56,28,0.0740926745408968
0,1.7857142857142858,0,21/22,56,28,2.0682019523368282
0,1.8148148148148149,1,21/22,57,27,2.176523937797348
0,1.0,0,21/22,57,25,-0.8564916550972045
0,1.8275862068965518,1,21/22,56,29,2.2240633671530623
0,1.1379310344827587,0,21/22,56,29,-0.34306581805549324
0,0.5862068965517241,1,21/22,57,29,-2.3967691662223376
0,1.9,0,21/22,57,10,2.49361193159996
0,0.8666666666666667,1,21/22,56,30,-1.3528032975708584
0,1.0689655172413792,0,21/22,56,29,-0.5997787365763493
0,1.1111111111111112,1,21/22,57,27,-0.4428986197024926
0,1.2857142857142858,0,21/22,57,28,0.2070332930606259
0,1.3214285714285714,1,21/22,56,28,0.33997391158035417
1,1.0344827586206897,0,21/22,56,29,-0.7281351958367764
0,0.8,1,21/22,57,25,-1.6009591188076853
0,1.1923076923076923,0,21/22,57,26,-0.1406575553755882
0,1.3571428571428572,1,21/22,56,28,0.4729145301000833
0,1.6666666666666667,0,21/22,56,12,1.6250665572710659
0,1.2962962962962963,1,21/22,57,27,0.24642310595535993
1,1.0384615384615385,0,21/22,57,26,-0.7133248351528809
0,1.2413793103448276,1,21/22,56,29,0.04200355972578999
0,1.2758620689655173,0,21/22,56,29,0.17036001898621803
0,1.0740740740740742,1,21/22,57,27,-0.580762964834063
0,1.1153846153846154,0,21/22,57,26,-0.4269911952642345
0,1.75,1,21/22,57,28,1.9352613338170994
0,1.3103448275862069,0,21/22,57,29,0.2987164782466452
0,1.1333333333333333,1,21/22,56,30,-0.3601800126235506
0,1.3793103448275863,0,21/22,56,29,0.5554293967675012
0,1.8,1,21/22,56,30,2.12137819974472
0,1.0666666666666667,0,21/22,56,30,-0.6083358338603775
0,1.8181818181818181,1,21/22,57,11,2.189057060082036
0,0.8461538461538461,0,21/22,57,26,-1.4291589348744975
0,1.1428571428571428,1,21/22,57,28,-0.3247291810182897
0,1.1428571428571428,0,21/22,57,28,-0.3247291810182897
0,1.6153846153846154,1,21/22,56,13,1.434177464011968
0,1.2,0,21/22,56,30,-0.11202419138672362
0,1.2333333333333334,1,21/22,56,30,0.012053719231690263
0,1.0,0,21/22,56,30,-0.8564916550972045
0,1.1111111111111112,1,21/22,57,27,-0.4428986197024926
0,1.2857142857142858,0,21/22,57,28,0.2070332930606259
0,1.1851851851851851,1,21/22,57,27,-0.16716992943935194
0,0.5666666666666667,0,21/22,57,30,-2.46950449313658
0,0.8709677419354839,1,21/22,56,31,-1.3367932445878374
0,1.3103448275862069,0,21/22,56,29,0.2987164782466452
