match_id,tournament_id,season,match_date,home_team,away_team,overall_home,overall_away,non_penalty_non_own_goal_home,non_penalty_non_own_goal_away,penalty_goal_home,penalty_goal_away,penalty_awarded_home,penalty_awarded_away,penalty_missed_home,penalty_missed_away,own_goal_home,own_goal_away,usable_for_components,quarantine_reason,referee,referee_name,referee_id,referee_present,sofascore_referee_present
8824163,57,20/21,2020-12-05T15:00:00+00:00,elgin-city,annan-athletic,1,0,1,0,0,0,0,0,0,0,0,0,true,,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,true,false
8824176,57,20/21,2020-12-05T15:00:00+00:00,edinburgh-city-fc,albion-rovers,5,2,5,2,0,0,0,0,0,0,0,0,true,,Stewart Luke,Stewart Luke,ebe4evu4jimqxiodq4bwudjah,true,false
8824185,57,20/21,2020-12-05T15:00:00+00:00,cowdenbeath,queens-park-fc,0,3,0,3,0,0,0,0,0,0,0,0,true,,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,true,false
8824200,57,20/21,2020-12-05T15:00:00+00:00,stranraer,stirling-albion,2,2,2,0,0,1,0,1,0,0,0,1,true,,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,true,false
8824202,57,20/21,2020-12-05T15:00:00+00:00,stenhousemuir,brechin-city,2,1,2,1,0,0,0,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
8824081,56,20/21,2020-12-12T15:00:00+00:00,clyde-fc,falkirk-fc,0,3,0,3,0,0,0,0,0,0,0,0,true,,Colin Steven,Colin Steven,byb55tj0n1soxr5kb1eyi3qvp,true,false
8824088,56,20/21,2020-12-12T15:00:00+00:00,airdrieonians,montrose,0,1,0,1,0,0,0,0,0,0,0,0,true,,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,true,false
8824162,56,20/21,2020-12-12T15:00:00+00:00,peterhead,east-fife,2,1,2,1,0,0,0,0,0,0,0,0,true,,Graham Beaton,Graham Beaton,bxvet3x1qjc6n0o20o7h28uz9,true,false
8824165,57,20/21,2020-12-12T15:00:00+00:00,queens-park-fc,edinburgh-city-fc,3,3,2,3,1,0,1,0,0,0,0,0,true,,Lloyd Wilson,Lloyd Wilson,mb39kmc5hg5dahpssor662mt,true,false
8824184,57,20/21,2020-12-12T15:00:00+00:00,albion-rovers,elgin-city,3,1,2,1,0,0,0,0,0,0,0,0,false,component_total_mismatch,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,true,false
