fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
8,turf_asym.w,0.05798145046476553,0.04406161883127079,-0.014265035239223156,0.05800567882973923,0.13006693932310984,0.903,0.05,0.05,0.841344746068543,0.11876762337458424,NaN,NaN
8,turf_gen.w,-0.01094299627708711,0.04160933473173904,-0.07934255802550969,-0.010418337499363668,0.05645711227752877,0.397,0.0,0.05,0.5,0.1678133053652192,NaN,NaN
8,turf_pace.w,0.010231738269394695,0.03801828910599883,-0.0511520668126883,0.010216797280783688,0.07305901608295103,0.60225,0.0,0.05,0.5,0.23963421788002337,NaN,NaN
8,ha.γ_base,0.13406000365367407,0.036737817763469655,0.07498698818195608,0.13421485034067288,0.1945433808292324,1.0,0.15,0.05,0.9986501019683699,0.2652436447306069,NaN,NaN
8,ha.σ_γ,0.03531019975585484,0.026225280103370573,0.002998917104649595,0.029494357699486974,0.08561847252720829,1.0,0.03989422804014327,0.030140513749454357,1.0,0.12989936663420887,0.334,0.31084348322064836
9,turf_asym.w,0.06170274240814454,0.04363457980661834,-0.01005191012591492,0.06118013006812747,0.1331064077015379,0.92375,0.05,0.05,0.841344746068543,0.1273084038676332,NaN,NaN
9,turf_gen.w,-0.015867396810867438,0.04168092482933195,-0.08251065042668308,-0.01613080756733574,0.053843657151325636,0.35,0.0,0.05,0.5,0.166381503413361,NaN,NaN
9,turf_pace.w,0.012176326913567431,0.03814767376746938,-0.05087280822605988,0.012444867793504044,0.07354888569267505,0.62375,0.0,0.05,0.5,0.2370465246506125,NaN,NaN
9,ha.γ_base,0.13249617096530295,0.03594353687015599,0.07309763271020622,0.13272259291659677,0.19127088467244605,0.9995,0.15,0.05,0.9986501019683699,0.2811292625968803,NaN,NaN
9,ha.σ_γ,0.03293772164490875,0.024698254806271823,0.0026758207453428844,0.02775461945409792,0.08052446201130371,1.0,0.03989422804014327,0.030140513749454357,1.0,0.18056291237839495,0.366,0.31084348322064836
10,turf_asym.w,0.05856657317069434,0.04400263847415626,-0.012854219460508543,0.05748722672937041,0.13167611516496588,0.91575,0.05,0.05,0.841344746068543,0.11994723051687484,NaN,NaN
10,turf_gen.w,-0.01585090995163427,0.04002549445835152,-0.08180581495553037,-0.015595797923907296,0.04979860763861448,0.347,0.0,0.05,0.5,0.19949011083296964,NaN,NaN
10,turf_pace.w,0.012443694888696188,0.0386429858095599,-0.050124499414442455,0.012793029558525517,0.07395980438225919,0.62575,0.0,0.05,0.5,0.22714028380880202,NaN,NaN
10,ha.γ_base,0.1330172803489952,0.03610870535479288,0.07310502209982057,0.13259582407787626,0.19249836400502277,1.0,0.15,0.05,0.9986501019683699,0.2778258929041424,NaN,NaN
