fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
30,ha.σ_γ,0.0432726952728284,0.02968159539079467,0.00377580722764895,0.039647033283147656,0.0987287528008057,1.0,0.03989422804014327,0.030140513749454357,1.0,0.015225963381861551,0.2665,0.31084348322064836
31,turf_asym.w,0.05624211298000202,0.04118418153501236,-0.010307708372864668,0.056003089504355605,0.12424142057145274,0.91875,0.05,0.05,0.841344746068543,0.1763163692997528,NaN,NaN
31,ha.γ_base,0.11968739455782998,0.03240046619893277,0.06655383799782805,0.11976222789022045,0.17098361208164048,0.9995,0.15,0.05,0.9986501019683699,0.3519906760213447,NaN,NaN
31,ha.σ_γ,0.043500947550688535,0.029392424437977592,0.0039333200868860545,0.03951566202795413,0.0966208291403809,1.0,0.03989422804014327,0.030140513749454357,1.0,0.024820058400308764,0.2585,0.31084348322064836
32,turf_asym.w,0.0563371183921843,0.04222005790241467,-0.012191505653467435,0.05618017704292162,0.12600972639189106,0.91025,0.05,0.05,0.841344746068543,0.1555988419517067,NaN,NaN
32,ha.γ_base,0.10972960760649693,0.031918426865286155,0.05900691481853753,0.108990474497145,0.1631034201434083,0.99925,0.15,0.05,0.9986501019683699,0.36163146269427693,NaN,NaN
32,ha.σ_γ,0.04320997349917524,0.02906055501445184,0.004267594393811431,0.03906257847168984,0.09726106932653725,1.0,0.03989422804014327,0.030140513749454357,1.0,0.035830800495962545,0.25975,0.31084348322064836
33,turf_asym.w,0.04926222389473807,0.0405976057633472,-0.019484331190426744,0.04969442627846378,0.11541042976588277,0.88425,0.05,0.05,0.841344746068543,0.188047884733056,NaN,NaN
33,ha.γ_base,0.11280618797604931,0.03237583568643361,0.059593080542339125,0.11369109622811155,0.16517330308159153,0.9995,0.15,0.05,0.9986501019683699,0.35248328627132786,NaN,NaN
33,ha.σ_γ,0.04217536847957382,0.02916711395343236,0.003515273238984341,0.037358126489911075,0.09533697214657834,1.0,0.03989422804014327,0.030140513749454357,1.0,0.03229539496617306,0.26975,0.31084348322064836
34,turf_asym.w,0.03833105603463191,0.0418123246815576,-0.030331565574604966,0.037450442793850326,0.10787140552571158,0.81875,0.05,0.05,0.841344746068543,0.163753506368848,NaN,NaN
34,ha.γ_base,0.11155550963783344,0.03229997168574136,0.05935342667155694,0.11107837538102491,0.1647894835363766,0.9995,0.15,0.05,0.9986501019683699,0.35400056628517274,NaN,NaN
34,ha.σ_γ,0.046432868095535804,0.030710408175502513,0.004090484888686655,0.04276600841645209,0.10240669242626872,1.0,0.03989422804014327,0.030140513749454357,1.0,-0.018907920109970666,0.23425,0.31084348322064836
35,turf_asym.w,0.03522840688072606,0.04186843094644369,-0.03413067382910608,0.035364669020088384,0.10383304731421017,0.79975,0.05,0.05,0.841344746068543,0.16263138107112618,NaN,NaN
35,ha.γ_base,0.10850814595473655,0.03252841464078367,0.054850652444401925,0.10883485148131077,0.16140104214782824,0.9995,0.15,0.05,0.9986501019683699,0.3494317071843267,NaN,NaN
35,ha.σ_γ,0.05205018719859744,0.03237483888261174,0.005756497701033934,0.04918285290656772,0.10947890696412853,1.0,0.03989422804014327,0.030140513749454357,1.0,-0.07413029358856993,0.1945,0.31084348322064836
36,turf_asym.w,0.022581293484931996,0.03962828247945681,-0.043872889515744834,0.023076787968432544,0.08691781929260711,0.71975,0.05,0.05,0.841344746068543,0.2074343504108639,NaN,NaN
36,ha.γ_base,0.10742147719692031,0.031464093474249645,0.05654060648642981,0.10795813916357275,0.15893738951864658,1.0,0.15,0.05,0.9986501019683699,0.3707181305150071,NaN,NaN
36,ha.σ_γ,0.04669663891185842,0.031448034664125546,0.004027800004084288,0.042920381081013564,0.10487335912212567,1.0,0.03989422804014327,0.030140513749454357,1.0,-0.04338084365582051,0.2415,0.31084348322064836
37,turf_asym.w,0.02843204124114545,0.04131922551222705,-0.039410193967858,0.028159003193049693,0.09663323566556507,0.75925,0.05,0.05,0.841344746068543,0.17361548975545915,NaN,NaN
