fold,match_id,home_team,away_team,match_date,turf_home,turf_away,turf_asym,midweek,rest_diff,unmapped
19,12476637,stenhousemuir,inverness-caledonian-thistle,2025-04-19,1.0,0.0,1.0,0.0,0.0,
19,12476639,kelty-hearts-fc,queen-of-the-south,2025-04-19,1.0,1.0,0.0,0.0,0.0,
19,12476638,montrose,dumbarton,2025-04-19,1.0,0.0,1.0,0.0,0.0,
19,12476465,bonnyrigg-rose,east-fife,2025-04-12,0.0,1.0,0.0,0.0,0.0,
19,12476472,clyde-fc,forfar-athletic,2025-04-12,1.0,1.0,0.0,0.0,0.0,
19,12476468,edinburgh-city-fc,elgin-city,2025-04-12,1.0,0.0,1.0,0.0,0.0,
19,12476464,stirling-albion,stranraer,2025-04-12,0.0,0.0,0.0,0.0,0.0,
19,12476467,peterhead,the-spartans-fc,2025-04-12,0.0,1.0,0.0,0.0,0.0,
19,12476463,elgin-city,peterhead,2025-04-19,0.0,0.0,0.0,0.0,0.0,
19,12476466,east-fife,stirling-albion,2025-04-19,1.0,0.0,1.0,0.0,0.0,
19,12476461,stranraer,edinburgh-city-fc,2025-04-19,0.0,1.0,0.0,0.0,0.0,
19,12476460,forfar-athletic,bonnyrigg-rose,2025-04-19,1.0,0.0,1.0,0.0,0.0,
19,12476462,the-spartans-fc,clyde-fc,2025-04-19,1.0,1.0,0.0,0.0,0.0,
20,12473328,inverness-caledonian-thistle,arbroath,2025-04-26,0.0,0.0,0.0,0.0,0.0,
20,12473336,cove-rangers,kelty-hearts-fc,2025-04-26,1.0,1.0,0.0,0.0,0.0,
20,12473335,queen-of-the-south,stenhousemuir,2025-04-26,1.0,1.0,0.0,0.0,0.0,
20,12473322,alloa-athletic,montrose,2025-04-26,1.0,1.0,0.0,0.0,0.0,
20,12473327,dumbarton,annan-athletic,2025-04-26,0.0,1.0,0.0,0.0,0.0,
20,12473331,annan-athletic,cove-rangers,2025-05-03,1.0,1.0,0.0,0.0,0.0,
20,12473333,montrose,inverness-caledonian-thistle,2025-05-03,1.0,0.0,1.0,0.0,0.0,
20,12473334,arbroath,queen-of-the-south,2025-05-03,0.0,1.0,0.0,0.0,0.0,
20,12473337,kelty-hearts-fc,alloa-athletic,2025-05-03,1.0,1.0,0.0,0.0,0.0,
20,12473330,stenhousemuir,dumbarton,2025-05-03,1.0,0.0,1.0,0.0,0.0,
20,12476454,elgin-city,stranraer,2025-04-26,0.0,0.0,0.0,0.0,0.0,
20,12476455,stirling-albion,clyde-fc,2025-04-26,0.0,1.0,0.0,0.0,0.0,
20,12476458,bonnyrigg-rose,the-spartans-fc,2025-04-26,0.0,1.0,0.0,0.0,0.0,
20,12476459,peterhead,east-fife,2025-04-26,0.0,1.0,0.0,0.0,0.0,
20,12476457,edinburgh-city-fc,forfar-athletic,2025-04-26,1.0,1.0,0.0,0.0,0.0,
