window,spec,team,fs,season,cat,n,a,d,theta,old_firm
primary,main σc=1.0 σs=0.20,clachnacuddin-fc,2025,25/26,T5,3,-0.024649501112709953,0.11249151662706389,-0.13714101773977383,false
primary,main σc=1.0 σs=0.20,clachnacuddin-fc,2026,26/27,T5,4,0.01407561797566062,0.10603197801533701,-0.09195636003967639,false
primary,main σc=1.0 σs=0.20,cliftonville-fc,2022,22/23,GUEST,1,0.203847636356771,-0.11099956206471226,0.31484719842148323,false
primary,main σc=1.0 σs=0.20,cliftonville-fc,2023,23/24,GUEST,1,0.13895383701642136,-0.13377672566685442,0.2727305626832758,false
primary,main σc=1.0 σs=0.20,clyde-fc,2021,21/22,T3,38,0.06634136950921316,-0.2633587503075272,0.32970011981674036,false
primary,main σc=1.0 σs=0.20,clyde-fc,2022,22/23,T3,40,0.020643721376292626,-0.20293367685023592,0.22357739822652856,false
primary,main σc=1.0 σs=0.20,clyde-fc,2023,23/24,T4,40,0.1202432853896018,-0.12463570166153701,0.2448789870511388,false
primary,main σc=1.0 σs=0.20,clyde-fc,2024,24/25,T4,38,0.11791206144994731,-0.1356539412652527,0.2535660027152,false
primary,main σc=1.0 σs=0.20,clyde-fc,2025,25/26,T4,42,0.28714973712611563,-0.3634571955518476,0.6506069326779632,false
primary,main σc=1.0 σs=0.20,clyde-fc,2026,26/27,T4,12,0.21947950861653037,-0.12872708925593845,0.3482065978724688,false
primary,main σc=1.0 σs=0.20,clydebank-fc,2021,21/22,T5,6,0.35092972933802985,-0.46311778083716004,0.8140475101751898,false
primary,main σc=1.0 σs=0.20,clydebank-fc,2022,22/23,T5,1,0.33036291004957896,-0.3554070411669298,0.6857699512165087,false
primary,main σc=1.0 σs=0.20,clydebank-fc,2023,23/24,T5,2,0.3505368889098518,-0.3704732791444641,0.721010168054316,false
primary,main σc=1.0 σs=0.20,clydebank-fc,2024,24/25,T5,4,0.3228946641601219,-0.4764660067312355,0.7993606708913574,false
primary,main σc=1.0 σs=0.20,clydebank-fc,2025,25/26,T5,3,0.36788527199018994,-0.46557438037520515,0.8334596523653951,false
primary,main σc=1.0 σs=0.20,clydebank-fc,2026,26/27,T5,4,0.4295296132539106,-0.46703865335735184,0.8965682666112624,false
primary,main σc=1.0 σs=0.20,coldstream-fc,2021,21/22,T5,1,-0.20515426225663344,1.358913643242139,-1.5640679054987723,false
primary,main σc=1.0 σs=0.20,coldstream-fc,2025,25/26,T5,1,-0.2078711411276047,1.3471105862106403,-1.554981727338245,false
primary,main σc=1.0 σs=0.20,coleraine-fc,2023,23/24,GUEST,1,0.08779141899648886,0.07877168526777642,0.00901973372871244,false
primary,main σc=1.0 σs=0.20,cove-rangers,2021,21/22,T3,43,0.6287801341964943,-0.7635177637101437,1.392297897906638,false
primary,main σc=1.0 σs=0.20,cove-rangers,2022,22/23,T2,39,0.4070753113994089,-0.4004165249315006,0.8074918363309095,false
primary,main σc=1.0 σs=0.20,cove-rangers,2023,23/24,T3,40,0.35276017560173756,-0.355628018483287,0.7083881940850245,false
primary,main σc=1.0 σs=0.20,cove-rangers,2024,24/25,T3,40,0.5121926209362473,-0.5239739927245297,1.036166613660777,false
primary,main σc=1.0 σs=0.20,cove-rangers,2025,25/26,T3,43,0.23460496120991528,-0.5562019024848215,0.7908068636947367,false
primary,main σc=1.0 σs=0.20,cove-rangers,2026,26/27,T3,12,0.3729955264520414,-0.49060519813798154,0.863600724590023,false
primary,main σc=1.0 σs=0.20,cowdenbeath,2021,21/22,T4,39,-0.3947123921318672,-0.2000209252007119,-0.1946914669311553,false
primary,main σc=1.0 σs=0.20,cowdenbeath,2022,22/23,T5,2,-0.4472912494566619,-0.12418231958987411,-0.32310892986678774,false
primary,main σc=1.0 σs=0.20,cowdenbeath,2023,23/24,T5,3,-0.38307786473596134,-0.20895128312746297,-0.17412658160849837,false
