fs,team_id,team,tier,league_fixtures
2021,2363,falkirk-fc,3,39
2021,2386,montrose,3,36
2021,2385,peterhead,3,38
2021,2379,queens-park-fc,3,40
2021,2383,albion-rovers,4,41
2021,23955,annan-athletic,4,38
2021,2372,cowdenbeath,4,40
2021,26252,edinburgh-city-fc,4,40
2021,2380,elgin-city,4,39
2021,2375,forfar-athletic,4,39
2021,206633,kelty-hearts-fc,4,39
2021,2370,stenhousemuir,4,38
2021,2384,stirling-albion,4,39
2021,2371,stranraer,4,37
2022,2355,aberdeen,1,34
2022,2352,celtic,1,34
2022,2349,dundee-united,1,36
2022,2353,heart-of-midlothian,1,34
2022,2354,hibernian,1,34
2022,2347,kilmarnock,1,34
2022,2356,livingston,1,36
2022,2346,motherwell,1,35
2022,2351,rangers,1,34
2022,2365,ross-county,1,34
2022,2348,st-johnstone,1,34
2022,2359,st-mirren,1,35
2022,2366,arbroath,2,38
2022,2364,ayr-united,2,39
2022,8062,cove-rangers,2,38
2022,2357,dundee-fc,2,40
2022,2374,greenock-morton,2,39
2022,2376,hamilton-academical,2,38
2022,2362,inverness-caledonian-thistle,2,39
2022,2358,partick-thistle,2,38
2022,2379,queens-park-fc,2,38
2022,2361,raith-rovers,2,37
2022,2367,airdrieonians,3,38
2022,2369,alloa-athletic,3,38
2022,2360,clyde-fc,3,38
2022,2350,dunfermline-athletic,3,40
2022,26252,edinburgh-city-fc,3,37
2022,2363,falkirk-fc,3,40
2022,206633,kelty-hearts-fc,3,37
2022,2386,montrose,3,38
2022,2385,peterhead,3,39
2022,2368,queen-of-the-south,3,37
2022,2383,albion-rovers,4,39
2022,23955,annan-athletic,4,38
2022,76341,bonnyrigg-rose,4,40
2022,2377,dumbarton,4,43
2022,2382,east-fife,4,38
2022,2380,elgin-city,4,40
2022,2375,forfar-athletic,4,41
2022,2370,stenhousemuir,4,39
2022,2384,stirling-albion,4,45
2022,2371,stranraer,4,39
2023,2355,aberdeen,1,37
2023,2352,celtic,1,33
2023,2357,dundee-fc,1,39
2023,2353,heart-of-midlothian,1,34
2023,2354,hibernian,1,35
2023,2347,kilmarnock,1,33
2023,2356,livingston,1,34
2023,2346,motherwell,1,34
2023,2351,rangers,1,37
