team,mean,sd,q05,q50,q95,p_above_base,fold
elgin-city,0.1415282221867866,0.06692267607036563,0.044950098782189384,0.1351117176706972,0.26107006755167306,0.6235,6
montrose,0.13863430440076233,0.06636063040765244,0.03867613296255759,0.13338385007320389,0.2559211975173127,0.6025,6
peterhead,0.13773493992162428,0.06673596889562619,0.03874517624908893,0.13366348019512367,0.2561571372427591,0.6095,6
queen-of-the-south,0.13389332504141344,0.06429016013044041,0.03450886583100624,0.13020827237927213,0.244506717408096,0.58175,6
dumbarton,0.1327346356816752,0.06201919726754329,0.03907851115927903,0.12953325654706538,0.23836106552781616,0.57875,6
cove-rangers,0.1294300382105496,0.06269400711472904,0.032484201904737636,0.12939636169956337,0.23183970768783474,0.5555,6
airdrieonians,0.12830897140388298,0.07014867574986414,0.024214271759634406,0.12616776470866603,0.23913100788016786,0.54175,6
east-fife,0.12612405040854938,0.06320351147513295,0.026050806482588642,0.12452447038165348,0.22930652827734485,0.5375,6
stranraer,0.1258865914202004,0.06441223706007863,0.024991120403929867,0.12406201517883898,0.23426215592220956,0.52125,6
edinburgh-city-fc,0.12354443903267529,0.06449767117725252,0.01849311058776374,0.12451558248876503,0.22655481341606634,0.51775,6
bonnyrigg-rose,0.12311806813235905,0.06362662168172369,0.020831778714903486,0.12289076586519,0.22595363406674632,0.50575,6
hamilton-academical,0.12275904367106057,0.06628184057819733,0.016744848253247676,0.1220082183364574,0.23329451664217135,0.51,6
dunfermline-athletic,0.12266922891624364,0.07047537424681212,0.011413663458472494,0.12331416826925876,0.23409899907166723,0.50875,6
albion-rovers,0.12134036813966068,0.07158024398960805,0.008114742624753634,0.12224359398480233,0.23323758453733534,0.4985,6
forfar-athletic,0.11941685909327705,0.06499293502647563,0.014563231814143252,0.1200701256880372,0.22075345168397872,0.481,6
falkirk-fc,0.11823882246462716,0.06567545292143882,0.013239211515152685,0.11909137905325856,0.2206006713943883,0.4645,6
stenhousemuir,0.11292753781670635,0.06385536119128588,0.00551605608496668,0.11524457057677734,0.21105020870089913,0.44725,6
stirling-albion,0.10818490552563999,0.06630599556033484,-0.0010202410915901212,0.11058932379510689,0.20850126059478413,0.4115,6
kelty-hearts-fc,0.10723903070886917,0.0654917652814289,-0.004045194194291955,0.11048924719691283,0.20633382266430472,0.40075,6
inverness-caledonian-thistle,0.10684265140191616,0.07039141109152897,-0.014146585137357759,0.11044022171101064,0.21134691266513392,0.4065,6
arbroath,0.10569568268478573,0.07076916628262289,-0.016779258601731076,0.11158382235039008,0.20902271310710424,0.40825,6
clyde-fc,0.1039404706824995,0.06501451652746174,-0.012762702560118334,0.10871848123451351,0.20029841269878265,0.383,6
alloa-athletic,0.09708327596658088,0.06897645688704432,-0.028575065733386716,0.10509081696055636,0.19599319105097948,0.36025,6
the-spartans-fc,0.09473983760602211,0.06972840956262968,-0.03408708703297412,0.10212554069292334,0.19437953723078347,0.33375,6
annan-athletic,0.1579160431582792,0.0736925366871644,0.05243906098847923,0.150470096119097,0.29219369567876396,0.693,7
elgin-city,0.14333348498793994,0.06897833578067047,0.040255863793727704,0.14018297121755352,0.26432687132315363,0.62275,7
montrose,0.14135203186922754,0.06965050909675816,0.03895263606684053,0.13672384585005315,0.2636105654480229,0.6025,7
peterhead,0.14080510838346538,0.06724063930301806,0.03812736201380694,0.13622692861430674,0.2562472229893555,0.6035,7
queen-of-the-south,0.13812781314340938,0.06759794359840544,0.03731693200115264,0.13573808905743368,0.2518702770788601,0.57975,7
edinburgh-city-fc,0.13597367129022553,0.06592083468593364,0.035145216594020326,0.13363401876793157,0.24621808264812892,0.578,7
dumbarton,0.13466548929387095,0.06522820886167492,0.034889015240825584,0.1322542131125088,0.24707807309084961,0.565,7
cove-rangers,0.13284814220426885,0.06928975378799174,0.024005589115183006,0.13121456392252728,0.24703766666931523,0.5565,7
east-fife,0.13270009114489623,0.06561418679633171,0.03002008035041842,0.1299925997331697,0.24203970819558118,0.555,7
airdrieonians,0.1319595205504661,0.07551462438404881,0.016602119786968694,0.13027285144895112,0.25656696493075903,0.53725,7
hamilton-academical,0.12761432901771017,0.06553590475611985,0.026288260631261787,0.1265804074393622,0.23657949093783912,0.51775,7
