fold,gamma_base_mean,gamma_base_sd,gamma_base_q05,gamma_base_q95,sigma_mean,sigma_sd,sigma_q05,sigma_q50,sigma_q95,p_sigma_below_0p02,prior_p_sigma_below_0p02
24,0.12673320370594549,0.03086024742123123,0.07638107504647026,0.1773160005719994,0.0978116685929015,0.03352802808041761,0.042195782016080055,0.09726415984028489,0.15385054794281422,0.017,0.15851941887820598
25,0.12054611503068895,0.03142124557112774,0.06887582917833321,0.17162148423565812,0.10213787822602051,0.030964680764551236,0.05336327957845314,0.10095863980240467,0.1548680895490502,0.0065,0.15851941887820598
26,0.12340262547569657,0.030702088501827415,0.07363250353416706,0.17504086582085235,0.10675406746827233,0.030273098126239364,0.05938276596722859,0.10551552365938253,0.1592868732507413,0.002,0.15851941887820598
27,0.1216246933286573,0.03286482045275675,0.06816749369021946,0.1762366053633509,0.11017677876912849,0.03101171412289512,0.06076626875373428,0.10901191723714669,0.16340959532535512,0.001,0.15851941887820598
28,0.12240639404857385,0.030449192929221335,0.07241120427210622,0.1722238081885347,0.10463600947466736,0.029882557703475476,0.059552248044310724,0.10285246294120896,0.15797384790967559,0.0015,0.15851941887820598
29,0.12009688424056518,0.031104855214317516,0.069544692256669,0.17144172131573365,0.10404573974760291,0.03040216920206792,0.05773911173460064,0.1033235528731673,0.15533655925662754,0.01175,0.15851941887820598
30,0.11643951443318243,0.03139428333425686,0.0651704871287456,0.16651472198311526,0.10434292090739483,0.02913080779325632,0.05972475643961268,0.10285021667801825,0.15544643561976923,0.0015,0.15851941887820598
31,0.11631903905076824,0.030085559458258058,0.06675316459028945,0.16681056319559617,0.10249807989628308,0.028567395713037517,0.05873516397681791,0.10154988286399126,0.15036732290809604,0.00175,0.15851941887820598
32,0.11264712547315488,0.03039280256842931,0.061920412059599084,0.16137407314372293,0.10275731947121332,0.027357646141007448,0.059742636622158195,0.10175176843032954,0.14824954244877334,0.002,0.15851941887820598
33,0.11243366097930607,0.029680228043703794,0.0634681698691311,0.16052421317740792,0.10017841641554504,0.027849229113430195,0.056851884240157226,0.09885727301100608,0.14718220553201322,0.00175,0.15851941887820598
34,0.11196684665137266,0.030104971525217416,0.06126977057339368,0.16167569222336275,0.09977108572714112,0.027122712247045794,0.0575010994047976,0.09833566556401398,0.14693709487028783,0.00025,0.15851941887820598
35,0.11143397271575173,0.02983952909614635,0.06245429589008701,0.1611148464375701,0.10106447912889066,0.026844550866591453,0.06074380320411587,0.0992695375444353,0.14774058061547743,0.00125,0.15851941887820598
36,0.10762946888892742,0.028938390017256177,0.060750789159868215,0.15495532657648411,0.10128477315590821,0.028348819481465195,0.05821006480175276,0.09976800574679082,0.14995621080753085,0.00475,0.15851941887820598
37,0.10926648465676916,0.02986826171761812,0.05869065395981878,0.15766972173063404,0.10163868118499599,0.02750176734874977,0.06018247594196916,0.09988566419739814,0.1503500236873681,0.001,0.15851941887820598
38,0.113001098648795,0.028351496687380594,0.0668108955053316,0.15907368091537255,0.09766903249830111,0.02586177159546389,0.05840719548412552,0.09647025665090417,0.14263633462471914,0.0005,0.15851941887820598
39,0.11516119246753603,0.027930001776700908,0.06960818498542488,0.1597631097098119,0.09542853752407507,0.026124752390065023,0.05516317681643949,0.09368683093706767,0.1403674657486754,0.00125,0.15851941887820598
40,0.11699082408481704,0.02688212023249335,0.07247090355780907,0.16103096727476357,0.08755046693889319,0.025744056075522038,0.04774497415390255,0.08659617271542192,0.13094026319462643,0.00575,0.15851941887820598
