model,fixture,n_identity,max_draw_cdf_gap,max_mean_cdf_gap,max_mass_gap,min_cell,max_diag_spread,Δp_home,Δp_draw,Δp_away,Δp_under25
m05_joint_grw_smile_spine_w040,12476630,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,4.5756440374046646e-15,3.3292218794851593e-16,-0.004872072640243363,0.008866903450133135,-0.003994779424338735,1.1102230246251565e-16
m05_joint_grw_smile_spine_w040,12476635,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,4.91226346698286e-15,3.336080864720629e-16,-0.00482779995145044,0.008636764563292543,-0.003808889387515113,0.0
m05_joint_grw_smile_spine_w040,12476636,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,9.691131793029028e-15,3.3398656197875415e-16,-0.0040573315503764085,0.007897074297086193,-0.0038397072189698123,0.0
m05_joint_grw_smile_spine_w040,12476793,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,2.3126037406569356e-15,3.389391351587266e-16,-0.003670820080484971,0.007027272029388243,-0.0033563376018355684,0.0
m05_joint_grw_smile_spine_w040,12476795,0,4.440892098500626e-16,0.0,5.551115123125783e-16,8.571760468652567e-15,3.4348404899849037e-16,-0.002242419871366974,0.004623097622503791,-0.0023805785466647356,0.0
m05_joint_grw_smile_spine_w040,12476796,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,7.561296973068178e-15,3.4255994341738617e-16,-0.0022806543028399684,0.004833477811620135,-0.002552627696938037,0.0
m05_joint_grw_smile_spine_w040,12476792,0,3.3306690738754696e-16,2.220446049250313e-16,5.551115123125783e-16,2.2737550564234995e-14,3.437710344658817e-16,-0.0012897802189918983,0.0034853480292650063,-0.0021952568693071606,0.0
m05_joint_grw_smile_spine_w040,12476790,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,4.9703677439533985e-15,3.371312119645915e-16,-0.003323738559782796,0.006582661692611069,-0.0032588589473764307,5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12476788,0,4.440892098500626e-16,5.551115123125783e-17,4.440892098500626e-16,3.8162820471694694e-15,3.3998698298151984e-16,-0.0032869677587851753,0.006556784637486102,-0.0032697410145487438,0.0
m05_joint_grw_smile_spine_w040,12476786,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,1.4033112689113531e-14,3.4107628051463855e-16,-0.0027848808744835862,0.005655397025750797,-0.00287041773445329,0.0
m05_joint_grw_smile_spine_w040,12476787,0,3.3306690738754696e-16,1.1102230246251565e-16,4.440892098500626e-16,2.91151019845062e-14,3.420271153571396e-16,-0.0019530779866800407,0.0037240631634770094,-0.0017708702860393388,0.0
m05_joint_grw_smile_spine_w040,12476791,0,3.3306690738754696e-16,1.1102230246251565e-16,6.661338147750939e-16,6.326557725161084e-15,3.4326641234047044e-16,-0.0026137614956637245,0.0053676650052222885,-0.00275376795845389,5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12476789,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,7.548575961762037e-15,3.3865669672152895e-16,-0.002782618958221017,0.005544318028467554,-0.002761635566401688,5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12476629,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,9.21616425604598e-16,3.3107392687003206e-16,-0.005076587924039866,0.009452424540926208,-0.004375806588961806,1.1102230246251565e-16
m05_joint_grw_smile_spine_w040,12476634,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,4.917589409237928e-15,3.3691779438977173e-16,-0.00329375630543699,0.006639829626599425,-0.003346020142159789,5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12476623,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,1.5453318498055111e-15,3.358700099378092e-16,-0.004424265928458515,0.007969555534058481,-0.0035451751077405502,0.0
m05_joint_grw_smile_spine_w040,12476631,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,7.831043033609228e-15,3.4232929472112713e-16,-0.00269831005885679,0.005096618121413737,-0.0023980623920102917,0.0
m05_joint_grw_smile_spine_w040,12476624,0,3.3306690738754696e-16,0.0,4.440892098500626e-16,3.771801217218655e-15,3.3567336257674475e-16,-0.0042836650387564346,0.008207685253128871,-0.003923981425420331,0.0
m05_joint_grw_smile_spine_w040,12476627,0,3.3306690738754696e-16,1.1102230246251565e-16,5.551115123125783e-16,1.820476872563771e-15,3.42204646770735e-16,-0.0031606234382252074,0.00598863153786075,-0.0028274351955405452,5.551115123125783e-17
m05_joint_grw_smile_spine_w040,12476625,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,6.15714274392413e-15,3.3701304088691185e-16,-0.003671706831615662,0.0071323979327457265,-0.0034606322204941975,0.0
m05_joint_grw_smile_spine_w040,12476621,0,3.3306690738754696e-16,0.0,6.661338147750939e-16,1.8862944728083706e-15,3.3379647700699005e-16,-0.0047170226036173935,0.008566462222972637,-0.003849373452608773,0.0
m05_joint_grw_smile_spine_w040,12476622,0,3.3306690738754696e-16,0.0,5.551115123125783e-16,4.573650979149862e-15,3.3554815393640244e-16,-0.0040414989667788,0.0076031621127792826,-0.0035615821429925143,0.0
