team,mean,sd,q05,q50,q95,p_above_base,model,fold
elgin-city,0.12704211506876475,0.0637565332667206,0.028902877255494966,0.12365817407007326,0.23540693746220123,0.5785,m12_joint_hybrid_synergy_hier_ha,1
montrose,0.12696867122191932,0.06388682954686233,0.02965599239671833,0.12341785858222647,0.2350848947770352,0.57875,m12_joint_hybrid_synergy_hier_ha,1
forfar-athletic,0.1267321157557091,0.06571166526639936,0.028464949451121928,0.12296070649159668,0.24086742337631004,0.58775,m12_joint_hybrid_synergy_hier_ha,1
airdrieonians,0.12645475938995038,0.0733590852850638,0.019956445437402905,0.12249246913457319,0.25314288779408556,0.561,m12_joint_hybrid_synergy_hier_ha,1
queen-of-the-south,0.12249780203320132,0.06487818878711814,0.022040392895348482,0.12093644109091281,0.23294007368490174,0.5475,m12_joint_hybrid_synergy_hier_ha,1
dumbarton,0.12189901801271533,0.06421809757935601,0.023436729523069796,0.11994572362106429,0.23056497986110583,0.55375,m12_joint_hybrid_synergy_hier_ha,1
cove-rangers,0.12026830554119046,0.06583419641090539,0.01904667326994235,0.11813883403665679,0.2301593926742271,0.52575,m12_joint_hybrid_synergy_hier_ha,1
stirling-albion,0.12007895684889862,0.06343067797822007,0.021401481791764498,0.11826974913297138,0.22539275889313135,0.5365,m12_joint_hybrid_synergy_hier_ha,1
dunfermline-athletic,0.11680477996415695,0.07154912649036134,0.004003851013607963,0.1148830411443869,0.23512228276197325,0.51225,m12_joint_hybrid_synergy_hier_ha,1
edinburgh-city-fc,0.11541729426663946,0.06436621474762826,0.01042607906896866,0.11530027793958907,0.2203208983631125,0.50425,m12_joint_hybrid_synergy_hier_ha,1
albion-rovers,0.11357406114472633,0.07211456630908974,-0.00316326795774913,0.1144872777916243,0.22849470085781157,0.50775,m12_joint_hybrid_synergy_hier_ha,1
hamilton-academical,0.11230393115576089,0.06540731361105472,0.005261234203038318,0.11426551306309447,0.21515080391562558,0.4835,m12_joint_hybrid_synergy_hier_ha,1
falkirk-fc,0.11009003903729214,0.06400610611532331,0.005459919474726897,0.11131516764819493,0.21191408046338933,0.474,m12_joint_hybrid_synergy_hier_ha,1
alloa-athletic,0.09517592522017884,0.06659732920119536,-0.02366121159936448,0.09843322259105913,0.19330067163500522,0.37925,m12_joint_hybrid_synergy_hier_ha,1
stenhousemuir,0.09456328702626277,0.06764092018492888,-0.022847631536512016,0.09945468826830993,0.19495799443890544,0.374,m12_joint_hybrid_synergy_hier_ha,1
clyde-fc,0.09293367839316795,0.06759885223985827,-0.024133203730337283,0.09882799385632329,0.19374920151396835,0.36575,m12_joint_hybrid_synergy_hier_ha,1
east-fife,0.08569560753173357,0.07013149725788781,-0.04166628681905596,0.09248538312749496,0.18412023524999135,0.32175,m12_joint_hybrid_synergy_hier_ha,1
kelty-hearts-fc,0.08481305509603349,0.0690323059162246,-0.04388847420103627,0.09170539836749568,0.18184810222252593,0.32225,m12_joint_hybrid_synergy_hier_ha,1
the-spartans-fc,0.07959105948961533,0.07525974418411387,-0.059638065319127735,0.08933126629467072,0.18299631128576377,0.305,m12_joint_hybrid_synergy_hier_ha,1
annan-athletic,0.14212580822356147,0.06409153069767203,0.04308003849999993,0.13888041611788643,0.2521093620868034,0.607,m12_joint_hybrid_synergy_hier_ha,2
elgin-city,0.13918620828211334,0.06479271693835162,0.03839480695583891,0.13694019659805973,0.24917982361529017,0.59325,m12_joint_hybrid_synergy_hier_ha,2
stranraer,0.1361731363495779,0.06250278467291129,0.03633978154177586,0.13451359524357398,0.24271841040418224,0.56925,m12_joint_hybrid_synergy_hier_ha,2
peterhead,0.13550174681707225,0.06360285557013479,0.03650580629256171,0.13426035412919046,0.2401550880550441,0.56525,m12_joint_hybrid_synergy_hier_ha,2
montrose,0.1336563917670398,0.06210594491587243,0.036071623686054106,0.13375715898781382,0.23841230979843964,0.55975,m12_joint_hybrid_synergy_hier_ha,2
dumbarton,0.13183483825763387,0.0606665108673317,0.03542868384697243,0.13133304732414586,0.23077195365569414,0.5445,m12_joint_hybrid_synergy_hier_ha,2
queen-of-the-south,0.1317395650899647,0.06242108129277716,0.034684511049705755,0.13144241154312739,0.23384817849883685,0.53825,m12_joint_hybrid_synergy_hier_ha,2
airdrieonians,0.13159471203816325,0.06565625812232313,0.02701534939274913,0.13069893164004287,0.24267663546478752,0.5315,m12_joint_hybrid_synergy_hier_ha,2
bonnyrigg-rose,0.1305720042024521,0.06141684038163083,0.03368259464884722,0.1297741967482911,0.22981638149321265,0.539,m12_joint_hybrid_synergy_hier_ha,2
inverness-caledonian-thistle,0.1279745777227391,0.06580691619870613,0.02356596967529589,0.12677782949263525,0.2342883033819634,0.50575,m12_joint_hybrid_synergy_hier_ha,2
dunfermline-athletic,0.12773221516881506,0.06677427318579018,0.020541852245062837,0.12783129377505115,0.23591282537924074,0.50725,m12_joint_hybrid_synergy_hier_ha,2
