window,spec,old_firm,cat,club_seasons,theta_mean,theta_sd,theta_p10,theta_p50,theta_p90,a_mean,a_sd,d_mean,d_sd
primary,main σc=1.0 σs=0.20,incl,T4,60,0.38475561771593764,0.23029693090361245,0.10858731731822599,0.38976522197513847,0.6696209691112467,0.1246443544537371,0.1705526149478598,-0.2601112632622006,0.13298927598358917
primary,main σc=1.0 σs=0.20,incl,T5,176,-0.15613310266116767,0.5430236589741468,-0.7907742016496602,-0.1481713274976907,0.5787821274299997,-0.08303890253427935,0.32155488526302733,0.07309420012688825,0.3149659596428737
primary,σc=1.0 σs=0.10,incl,T1,60,2.042241543779775,0.48591828506688706,1.6089721917647035,1.8779544843702705,2.878328595570567,0.9182719591585339,0.2785353708445056,-1.1239695846212407,0.22095194869333437
primary,σc=1.0 σs=0.10,incl,T2,50,1.3217343085360955,0.26791376878610595,1.0084184131872411,1.2874987777668485,1.7391284736275647,0.5480594586074303,0.13800814667738678,-0.7736748499286651,0.15301663747933447
primary,σc=1.0 σs=0.10,incl,T3,60,0.808609868561701,0.3628020306715029,0.40876939984835065,0.8160445077534861,1.2402358764030896,0.34193576942492104,0.17195135402512035,-0.46667409913677993,0.2142515370719696
primary,σc=1.0 σs=0.10,incl,T4,60,0.37897018268206895,0.18385620082319884,0.1925109980710276,0.3523007113881321,0.5950046054410074,0.11628809683204011,0.14202651179948247,-0.2626820858500286,0.10661332409615111
primary,σc=1.0 σs=0.10,incl,T5,176,-0.15966828621282053,0.5468426122921624,-0.7776273746656279,-0.17979777687705947,0.5828950839355577,-0.08804122995879422,0.3174792251128376,0.07162705625402625,0.3171394482043631
primary,σc=1.0 σs=0.35,incl,T1,60,2.0360015506065285,0.5239449923841789,1.506654716373212,1.8901997714761782,2.8529474511318904,0.9195379556985622,0.30840935177361134,-1.1164635949079658,0.25196786333834376
primary,σc=1.0 σs=0.35,incl,T2,50,1.399650591657589,0.3668506799725493,1.0005712463832157,1.3815819723317184,1.8575396581980468,0.5911852716130959,0.1992584617405134,-0.808465320044493,0.21092813307193217
primary,σc=1.0 σs=0.35,incl,T3,60,0.8143506118573886,0.4568855932455977,0.3246811073363585,0.7981957125412273,1.487046473643216,0.34134060351651335,0.2312575689524547,-0.47301000834087525,0.28058363181878476
primary,σc=1.0 σs=0.35,incl,T4,60,0.3995201254441605,0.28009522491571975,0.0359684994211072,0.3782223368523574,0.7698112560952639,0.1383160774238348,0.20083664168811352,-0.2612040480203259,0.16368471196505713
primary,σc=1.0 σs=0.35,incl,T5,176,-0.15420548725811278,0.5474427819739108,-0.8410829364746374,-0.14993800639567184,0.5942334483120169,-0.07851208811455662,0.3387931276216529,0.07569339914355612,0.323183478720378
long,main σc=1.0 σs=0.20,excl,T1,184,1.6634232794169441,0.2618633743418681,1.3404506141164862,1.6586337451834412,2.019445325310866,0.7314343708534168,0.15803584976060858,-0.9319889085635272,0.15395123968395333
